,pl_name,hostname,pl_rade,st_mass,sy_pnum
52,AU Mic b,AU Mic,3.957,0.5,3
53,AU Mic c,AU Mic,3.24,0.5,3
54,AU Mic d,AU Mic,1.02,0.51,3
131,DMPP-1 c,DMPP-1,3.06,1.21,3
132,DMPP-1 d,DMPP-1,1.65,1.21,3
133,DMPP-1 e,DMPP-1,1.86,1.21,3
145,EPIC 201754305 d,K2-16,1.03,0.67,3
150,EPIC 206024342 b,EPIC 206024342,1.7,0.93,3
151,EPIC 206024342 c,EPIC 206024342,1.4,0.93,3
152,EPIC 206024342 d,EPIC 206024342,2.6,0.93,3
179,EPIC 249893012 b,EPIC 249893012,1.95,1.05,3
180,EPIC 249893012 c,EPIC 249893012,3.67,1.05,3
181,EPIC 249893012 d,EPIC 249893012,3.94,1.05,3
189,GJ 1061 b,GJ 1061,1.1,0.12,3
190,GJ 1061 c,GJ 1061,1.18,0.12,3
191,GJ 1061 d,GJ 1061,1.16,0.12,3
208,GJ 180 b,GJ 180,2.43,0.43,3
209,GJ 180 c,GJ 180,2.41,0.43,3
210,GJ 180 d,GJ 180,2.66,0.43,3
223,GJ 3138 b,GJ 3138,1.18,0.68,3
224,GJ 3138 c,GJ 3138,1.88,0.68,3
225,GJ 3138 d,GJ 3138,3.23,0.68,3
244,GJ 357 b,GJ 357,1.2,0.34,3
245,GJ 357 c,GJ 357,1.66,0.34,3
246,GJ 357 d,GJ 357,2.34,0.34,3
248,GJ 367 b,GJ 367,0.699,0.46,3
249,GJ 367 c,GJ 367,1.86,0.46,3
250,GJ 367 d,GJ 367,2.33,0.46,3
279,GJ 667 C b,GJ 667 C,2.25,0.33,5
280,GJ 667 C c,GJ 667 C,1.77,0.33,5
281,GJ 667 C e,GJ 667 C,1.45,0.33,5
282,GJ 667 C f,GJ 667 C,1.45,0.33,5
283,GJ 667 C g,GJ 667 C,1.99,0.33,5
317,GJ 9827 b,GJ 9827,1.44,0.62,3
318,GJ 9827 c,GJ 9827,1.13,0.62,3
319,GJ 9827 d,GJ 9827,1.89,0.62,3
518,HD 108236 b,HD 108236,1.615,0.87,5
519,HD 108236 c,HD 108236,2.071,0.87,5
520,HD 108236 d,HD 108236,2.539,0.87,5
521,HD 108236 e,HD 108236,3.083,0.87,5
522,HD 108236 f,HD 108236,2.017,0.87,5
537,HD 110067 b,HD 110067,2.2,0.8,6
538,HD 110067 c,HD 110067,2.388,0.8,6
539,HD 110067 d,HD 110067,2.852,0.8,6
540,HD 110067 e,HD 110067,1.94,0.8,6
541,HD 110067 f,HD 110067,2.601,0.8,6
542,HD 110067 g,HD 110067,2.607,0.8,6
617,HD 134606 b,HD 134606,2.97,1.05,4
618,HD 134606 c,HD 134606,3.37,1.05,4
620,HD 134606 e,HD 134606,1.33,1.05,4
621,HD 134606 f,HD 134606,2.24,1.05,4
