,level_0,index,pnum,pl_orbsmax_0,pl_orbsmax_1,pl_orbsmax_2,pl_orbsmax_3,pl_orbsmax_4,pl_orbsmax_5,pl_orbsmax_6,pl_mass_0,pl_mass_1,pl_mass_2,pl_mass_3,pl_mass_4,pl_mass_5,pl_mass_6,st_mass,kep_angles,arg_peri_0,arg_peri_1,arg_peri_2,arg_peri_3,arg_peri_4,arg_peri_5,arg_peri_6,mean_anom_0,mean_anom_1,mean_anom_2,mean_anom_3,mean_anom_4,mean_anom_5,mean_anom_6,Sigma,alpha,beta,h,h_outermost,K,K_outermost,taue,taua,disk_inner_edge,disk_inner_edge_width,itime,close_encounter_flag,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_ratio_01,a_ratio_12,a_ratio_23,a_ratio_34,a_ratio_45,a_ratio_56,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_ratio_01,p_ratio_12,p_ratio_23,p_ratio_34,p_ratio_45,p_ratio_56,e_0,e_1,e_2,e_3,e_4,e_5,e_6,delta_wu_01,prox_res_01,delta_wu_12,prox_res_12,delta_wu_23,prox_res_23,delta_wu_34,prox_res_34,delta_wu_45,prox_res_45,delta_wu_56,prox_res_56,phi_cen_2_01,phi_amp_2_01,phi_cen_2_12,phi_amp_2_12,phi_cen_2_23,phi_amp_2_23,phi_cen_2_34,phi_amp_2_34,phi_cen_2_45,phi_amp_2_45,phi_cen_2_56,phi_amp_2_56,phi_cen_3_012,phi_amp_3_012,phi_cen_3_123,phi_amp_3_123,phi_cen_3_234,phi_amp_3_234,phi_cen_3_345,phi_amp_3_345,phi_cen_3_456,phi_amp_3_456,parameter_method,tmp,index,p_i_01,p_i_12,p_i_23,p_i_34,p_i_45,p_i_56,index,m_01,m_12,m_23,m_34,m_45,m_56,index,delta_01,delta_12,delta_23,delta_34,delta_45,delta_56
171,20,2.0,4,0.1,0.1673020617558331,0.1998112991068101,0.2794616793553425,,,,2.7700166193936355e-05,1.2105109702631236e-05,2.3313632485708903e-05,7.276978292649042e-06,,,,1.05,0,5.9077648516715815,2.1859411334057444,0.1026422691417904,0.8051011026797538,,,,1.8514529580752728,1.86267565607449,2.0967493406836426,1.1558507138282086,,,,270.8363098649009,1.5,0.0,0.0279108791129296,0.0279108791129296,230.17508608966085,230.17508608966088,167.8537801506084,38635.7582966413,0.05,0.01,115907.27488992392,0.0,0.0502528617020952,0.079798993231553,0.0901150860013946,0.1431428901400561,,,,1.5879493117973655,1.1292839587425707,1.5884476342304723,,,,0.0109938301132694,0.0219989613311061,0.0263995779914912,0.0528510557701914,,,,2.0010281711133597,1.2000565599952473,2.0019723842655632,,,,0.0166827736386302,0.0449505239181839,0.0248461327513526,0.0033440718640562,,,,0.0010281711133595,2.0,5.655999524733613e-05,1.2,0.0019723842655629,2.0,,,,,,,116.49710907816014,27.45134127407098,178.37371744560198,107.02083085467396,169.57568359402626,6.163339836825827,,,,,,,181.36949490789388,151.63419883654817,176.36981761862373,112.9987570706335,,,,,,,general_v10,1.0,171,2.163989577211908,1.3051962209044845,1.6540805238384604,,,,171,0.43700494855807326,1.9259331851111863,0.3121340399060412,,,,171,0.0005140855566798663,4.7133329372783805e-05,0.0009861921327816159,,,
401,250,1.0,7,0.1,0.1286570782246809,0.2274596172511176,0.3841380973978316,0.6420691846250083,1.2579621737576605,1.8729393118863955,1.5788361556909607e-05,2.9660561729425657e-05,1.317300985579034e-05,1.1116868532030792e-05,1.5890105519089308e-05,3.9106446305613726e-06,4.360071134556515e-06,0.73,0,1.735800347830205,2.8062600952389234,1.5381014410673783,4.737647104281688,4.09842675492563,4.270559993175135,1.042790519303628,3.203099125924969,3.169276759990483,6.117136326761672,3.680494374518788,5.251140868652989,4.168529288118533,3.4282738857372177,20.7094959407389,1.5,0.0,0.034744204430135,0.034744204430135,148.53903643879008,148.5390364387901,34179.302549363165,5076960.666832287,0.05,0.01,10000000.0,0.0,0.049886072967017,0.060449587394411,0.0960517005598355,0.1259852089118043,0.165330277139869,0.2635905246795705,0.4184425535485432,1.2117528138753884,1.588955445677971,1.3116395533285077,1.3122991199144218,1.5943270031252803,1.5874719162195263,0.013041004826832,0.017394953233246,0.0348407040852529,0.0523365837067619,0.0786773807135533,0.1583852854909119,0.3167908345467886,1.333866116309965,2.002920274752377,1.502167816111434,1.5032961055978344,2.0130981085529367,2.00012795737967,0.0446051735514367,0.0336012334439303,0.0095949812326266,0.0148461063377267,0.0056602364398288,0.0372054411825143,0.0068029263474588,0.0005327829766314,1.3333333333333333,0.0029202747523766,2.0,0.0021678161114337,1.5,0.0032961055978344,1.5,0.0130981085529367,2.0,0.0001279573796703,2.0,179.4687277831716,0.6728317039593841,180.21920450829083,0.4499628808898598,178.81812640908035,0.9559174243568191,178.16475460325643,1.1608562500057555,179.53880471641656,125.44820613547864,176.58807545743846,1.6130925611944251,180.92907458809,0.263763541908067,201.12388421301068,0.286786787182897,184.086554330519,0.6004579758642671,187.22755060448003,1.706979854802854,182.27885609295512,148.60007428958494,general_v10,1.0,401,1.4593061083363053,2.350773756169318,2.1947003207815285,2.160927762166201,2.742408816313391,1.8167034914797684,401,1.8786345639801383,0.4441254341694297,0.8439125646857579,1.4293688436906034,0.2461056426506033,1.1149238927216527,401,0.000399587232473797,0.0014601373761884417,0.0014452107409559378,0.002197403731889702,0.006549054276468347,6.397868983509802e-05
929,118,29.0,7,0.1,0.2198940583108276,0.4272829650701849,0.7300199449842321,1.2623785845757312,1.9457113667111356,3.043130429703293,2.1464693781570024e-06,3.315321157265001e-06,4.0382847774222985e-06,1.1376078489769555e-06,2.007093689996976e-06,3.3569601000381615e-07,7.803674261103985e-07,0.86,0,5.686138287457877,2.364311579199027,3.595565178392351,3.411563708956028,2.646993079603821,4.897293670738663,0.7782240030155905,6.123688486645863,4.877566657132114,3.38720926330196,1.6669075829881523,2.1653769861326158,2.259282601742175,2.4012502145431416,294.0370621656079,1.5,0.0,0.0540989115507749,0.0540989115507749,61.267236414411634,61.267236414411634,164251.73387654085,10063249.810891053,0.05,0.01,10000000.0,False,0.0499742898036182,0.0654862048321845,0.085813925200097,0.1124530155784374,0.1362332202976067,0.3120016899576742,0.3779676489607371,1.3103979084827204,1.3104122529110152,1.3104285268988902,1.2114679151109609,2.290202707247633,1.2114282115425548,0.0120469853201103,0.0180710060313588,0.0271077348524905,0.0406642671515778,0.0542225974407554,0.1879338389193492,0.2505828314286898,1.5000438328679393,1.5000678330575357,1.500098307000867,1.333421238561096,3.4659689459581164,1.3333566393832077,0.0495124249450765,0.0739458096058652,0.0540929656140063,0.0491219728046497,0.0102007362982441,0.0274795267750982,0.0126885957552626,4.383286793947505e-05,1.5,6.78330575353403e-05,1.5,9.83070008669884e-05,1.5,8.790522776274567e-05,1.3333333333333333,0.4659689459581161,3.0,2.3306049874673995e-05,1.3333333333333333,174.4879749767648,0.0170510134338546,177.5454567515484,0.0152869534006893,190.14054358263425,0.0193160966590921,208.0088637231054,0.0734685812091649,183.2254512843408,149.26916404947576,177.72565041921624,87.00159706919325,174.6626713706247,0.0165341361520569,139.78688822604005,0.0209886225868123,128.73581281654472,0.0382375249723145,182.12419101006125,149.3726636334672,185.65458806455865,147.1178481002377,general_v10,1.0,929,3.2607683484239263,2.708650328162916,2.23320942938559,2.273956327105675,1.9135226993308303,1.955974163369846,929,1.5445462166861172,1.2180674468212642,0.281705702217244,1.7643106908957638,0.1672547782282759,2.3246252646897037,929,2.922191195953161e-05,4.52220383571067e-05,6.553800057806924e-05,6.592892082202262e-05,0.1553229819860389,1.7479537405939993e-05
1049,91,35.0,7,0.1,0.1274279633878099,0.1608764793563207,0.3043783007033093,0.6074747341358196,1.0639996031653518,1.466425009338142,1.4787676420522036e-05,5.477122261214123e-05,5.144879218053455e-05,7.951831789799308e-06,1.3719024545962226e-05,4.933193506661104e-06,5.065787714071463e-06,0.98,0,0.0846368609995078,2.5060174465084404,5.4837478372515225,3.461944301629867,3.908763325946009,4.000491899026522,3.782812152575355,6.072766822808345,3.2097376804687303,5.297109622962829,0.162227906274732,2.5628871986872643,1.9718067620598347,5.673290887742182,157.7863981008882,1.5,0.0,0.0135980761837137,0.0135980761837137,969.7290496821648,969.7290496821648,110.32682521888616,106987.1273739608,0.05,0.01,320961.38212188234,False,0.0414285133949201,0.0502750002442899,0.0660889018758115,0.0870132753514148,0.1140213572058677,0.1494591784480472,0.1959481314223135,1.2135384412619412,1.3145482611455908,1.3166095717239414,1.3103906849746465,1.3107998610665277,1.3110478673464967,0.0085180689586075,0.0113869627200732,0.0171617338060484,0.025926560509746,0.0388904404931927,0.0583641745926839,0.0876139031490597,1.336806538487784,1.5071394716454702,1.51071939768466,1.500023969024635,1.5007332007360974,1.5011590506070422,0.0172667663325036,0.0099468350409943,0.0090605414583013,0.0156116517025767,0.0093691992416419,0.0185265529317312,0.0049803330887203,0.0034732051544508,1.3333333333333333,0.0071394716454703,1.5,0.01071939768466,1.5,2.396902463536854e-05,1.5,0.0007332007360975,1.5,0.0011590506070424,1.5,160.38467182764074,72.80769706355896,154.24784060468247,8.578654042608404,161.22659979219782,105.86360516946918,102.6675701243194,19.121856957404063,153.75744462103623,8.104787416479123,113.02335656340784,40.86188478084976,160.55369737537166,60.40744499029964,192.1887877117499,16.059225490338367,168.65007162546132,151.2059388598762,144.00041298649927,139.21494635234404,235.7326648729181,67.18556565076015,general_v10,1.0,1049,1.438428415984301,1.4185428312081272,2.602503603868538,2.8194897455825507,2.318044752520416,1.6179964327388632,1049,3.703842378923767,0.9393398526972047,0.15455818208319091,1.7252659398003278,0.3595877746361375,1.0268779660135616,1049,0.002604903865838226,0.0047596477636469015,0.0071462651231066765,1.5979349756722883e-05,0.0004888004907315224,0.0007727004046949038
1075,117,41.0,6,0.1,0.1127496769935707,0.172588450978844,0.1970354705507836,0.3829720761782035,0.549298738863372,,1.2799007149658584e-05,6.646990470648724e-06,9.352550442150676e-06,4.180472993405524e-06,7.10596797904201e-07,2.025476669778922e-06,,0.51,0,0.1340864899558987,3.812791397980885,2.66181026085434,6.032128920824768,4.050382390818824,1.0855841062700733,,0.5852695669180273,5.422401376034497,2.723391041269916,5.374443580632259,4.666490058307062,5.2629823404389855,,215.58055319681435,1.5,0.0,0.101016884413528,0.101016884413528,17.571846718184776,17.571846718184783,86495.1458713547,1519879.4451184785,0.05,0.01,4559638.335355435,False,0.0502486086648838,0.0797695431666434,0.1045348839263416,0.1369924115729429,0.1962587998815307,0.2175166061281095,,1.5874975508618965,1.310461109727135,1.3104947027878435,1.4326253389575103,1.1083151802041495,,0.0157726158632004,0.031547902661111,0.0473263176999551,0.0709992628061086,0.1217453770819513,0.1420517327783247,,2.0001693412981645,1.5001414941932734,1.500206784241725,1.7147414286471658,1.1667936614548569,,0.0763706205628774,0.1368505791539554,0.0567636801727039,0.0654708070150923,0.0180398632058788,0.0099937362931761,,0.0001693412981648,2.0,0.0001414941932732,1.5,0.0002067842417248,1.5,-0.035258571352834,1.75,0.0001269947881901,1.1666666666666667,,,239.36503052328783,0.0343402483815526,187.01889294117825,0.0356153819061478,179.760484739487,0.0627157042743513,180.9886444758664,146.905220492776,180.13387074887444,1.5400936463136716,,,272.6719029971033,0.056918274554095,189.8375644044726,0.0513897222079511,180.30094961829536,146.90787045707177,179.92950169646105,146.76281606035167,,,general_v10,1.0,1075,1.1972244538503112,1.8938408707831025,1.219835389739626,2.7097892660137077,1.7177568110487005,,1075,0.519336413592521,1.407035331771417,0.44698748424437246,0.16997999963763194,2.8503881184840156,,1075,8.467064908224131e-05,9.432946218224103e-05,0.00013785616115002952,-0.02014775505876243,0.00010885267559146428,
1199,57,19.0,6,0.1,0.1565933727878637,0.2540710511047449,0.4553685699570886,0.8386138141774512,1.777216209086278,,3.4470207230872072e-06,1.8398036139772008e-06,5.927343396366523e-06,4.42835972538017e-06,4.315131448664542e-06,8.290418908464484e-07,,1.04,0,4.898943433374555,2.4952628459987407,0.2212872666333809,2.529646270898845,3.411153369933301,5.37892034082692,,2.640534635036696,3.288321140100829,2.974367708939903,0.8069385135917925,0.9311240455280894,1.3696650080473023,,118.70228709459128,1.5,0.0,0.0318713864284824,0.0318713864284824,176.52386741177864,176.5238674117787,35830.044996978555,6324858.112404707,0.05,0.01,10000000.0,False,0.0499636631367431,0.0654729620777603,0.0793175728960098,0.1039425654863174,0.1650297040554255,0.1863747308020126,,1.31041156655268,1.211455391805244,1.3104607427966866,1.5877009409615082,1.1293405026643013,,0.0109514650363213,0.0164279515565611,0.0219050029685914,0.0328608213880067,0.0657401327470032,0.078898322562346,,1.5000688496304138,1.3333983188444452,1.5001514238863636,2.0005628108985607,1.2001545704997796,,0.0408666372678138,0.0849259951718776,0.0372852226884396,0.034826486518006,0.0057238983303675,0.0205911476811459,,6.884963041404734e-05,1.5,6.49855111116171e-05,1.3333333333333333,0.0001514238863634,1.5,0.0005628108985609,2.0,0.0001545704997794,1.2,,,164.61901078030658,1.2257815419650764,172.52890176831494,1.3340178233757678,179.79621413024785,4.481768775126628,165.91687048971636,100.18666393653422,179.71149854330437,15.44792079196348,,,194.34349492268308,0.3818035508286379,179.400581209556,2.1039352589224136,195.4085143096325,92.61369217537384,176.19601728415387,83.118581077878,,,general_v10,1.0,1199,1.9595682897791522,2.066673427785056,2.399452264128236,2.4991853364234724,3.085091918260728,,1199,0.5337373232643182,3.2217261404074926,0.7471069970561796,0.9744311023183857,0.1921243653198612,,1199,4.5899753609246474e-05,4.873913333391933e-05,0.00010094925757564432,0.0002814054492803475,0.00012880874981635593,
1276,134,40.0,7,0.1,0.1404960587810066,0.1899402302423624,0.2765145273088154,0.3298003479372473,0.7666537953292766,1.17863648236391,3.016884095407878e-05,1.3538290086626916e-05,1.1992759902292265e-05,2.522356615643864e-05,6.84122369472508e-06,2.3267636877112643e-07,5.674049612434514e-07,0.89,0,1.2844009448198552,3.132268220215829,0.6735507931312922,2.027222539471678,1.302372651245484,2.9761399326978406,1.1595430467357848,0.0882207266335639,0.5106047829917277,0.5292038725373093,2.701544597669971,0.0919951625863481,3.226579154628634,4.602536328503088,146.93389337199343,1.5,0.0,0.0264469501455534,0.0264469501455534,256.3622960806067,256.3622960806068,10527.88126017594,2698951.812722696,0.05,0.01,8096855.438168088,False,0.0502568671642777,0.0797986113301021,0.1267047037593543,0.1660724899086863,0.2637883237484458,0.3608837457091195,0.4187853438683375,1.5878151044916802,1.587805943716828,1.3107050722374112,1.588392812422479,1.368080956805638,1.160443908084501,0.011942602033417,0.0238943676146255,0.0478066952345798,0.07173647097604,0.143606849781889,0.2297961311818579,0.2872624123502505,2.0007673813352893,2.000751841143337,1.5005529745228012,2.0018670996819874,1.6001756463819947,1.2500750619191263,0.0193105895645984,0.0282309365816168,0.0475450723661294,0.0252403371666218,0.0045078323976825,0.0069916297409874,0.0098554280191141,0.0007673813352895,2.0,0.0007518411433369,2.0,0.0005529745228008,1.5,0.0018670996819871,2.0,0.0001756463819947,1.6,7.506191912644233e-05,1.25,155.58784165433948,28.08617487286292,107.55145554164096,30.43216282191688,166.08656414031395,14.847197164195295,172.3691344706323,33.91659505384364,190.56657691272477,150.8812460805451,185.54612552023187,8.455905250393963,197.8390700138603,146.65459943989387,76.25772079252893,25.17617256639628,158.73896005536383,40.8497819034147,180.47171454258148,148.7462922664205,163.5669538660169,145.13691832844862,general_v10,1.0,1276,1.665329862280627,1.571916978984657,1.756500432561314,1.3025794427309745,3.544246206123845,1.9062102604904883,1276,0.4487507527131751,0.8858400747475988,2.1032328139594854,0.27122349204292706,0.03401092833004881,2.438601583135341,1276,0.00038369066764465387,0.0003759205716684644,0.0003686496818675611,0.0009335498409936971,0.00010977898874653391,6.004953530114321e-05
1339,197,58.0,6,0.1,0.1407707900898646,0.204192726210108,0.2816925151407414,0.3915406085959851,0.8248108195395766,,9.175946999690892e-06,1.907650254812799e-05,3.510281727005148e-05,1.3625534052353634e-05,1.443946111095162e-05,1.2020126521654232e-05,,0.8,0,5.63085134338132,2.2230817127412767,1.654689802579714,4.259144317419926,5.878614193146444,3.075456711801789,,3.3221790965275613,2.7455524452024727,5.982443512004153,2.3154721307378527,4.070805261881092,0.9205366050207796,,76.83091762975026,1.5,0.0,0.0152742422675188,0.0152742422675188,768.5745443040747,768.5745443040748,63.06258761427323,48468.29953827584,0.05,0.01,145404.8986148275,False,0.0412353299591483,0.0499789357583671,0.0655781089804257,0.0861036649063864,0.1131493251509704,0.1483829416325815,,1.2120421447188408,1.3121160759607513,1.3129949872852993,1.314105882721864,1.3113904755283945,,0.0093619237361381,0.0124921190524958,0.0187751945280301,0.0282471593476975,0.0425516449240386,0.0639015067571135,,1.334355179483968,1.502966036557845,1.5044960598325026,1.5064046152039168,1.5017401178662066,,0.0187176387051751,0.0209511035012344,0.0116171821667119,0.0126879241394496,0.0075367970778332,0.0108800890891533,,0.0010218461506349,1.3333333333333333,0.0029660365578451,1.5,0.0044960598325024,1.5,0.0064046152039168,1.5,0.0017401178662066,1.5,,,163.3566311330148,52.59116208843472,155.03580116225305,90.61375067362098,169.71330053556346,25.134497994472245,142.29904997898464,48.40670893518458,161.66305155438894,13.175229587080636,,,218.1857410736881,46.71429378753572,199.14146786354547,93.67644301453268,230.16051274048377,36.005585886824655,182.11256743888416,155.33360125651885,,,general_v10,1.0,1339,1.67019098382285,1.7469771683243682,1.6203483434137007,1.6387097404437807,3.057503502359943,,1339,2.0789682578561774,1.8401075973696333,0.3881606979727656,1.0597354243489188,0.8324498005356694,,1339,0.0007663846129761787,0.0019773577052299984,0.0029973732216683757,0.004269743469277776,0.0011600785774710243,
1646,60,4.0,4,0.1,0.1443012434121197,0.1859285420907316,0.2323483027937118,,,,3.511179922162711e-06,1.654531373181452e-05,1.233808882128896e-05,3.710731530457302e-05,,,,0.96,0,0.4411227218581546,2.057663407670544,2.935370726408123,3.164886647543111,,,,2.9072410744955484,2.259887272376942,0.2410650583648547,0.1275680670313328,,,,64.50164355506381,1.5,0.0,0.0442120781372531,0.0442120781372531,91.73255457725034,91.73255457725034,632.511712058449,58021.915147151725,0.05,0.01,174065.74544145516,False,0.0429904583881974,0.0498917906661256,0.0653817519328744,0.0792139616908754,,,,1.1605352484268487,1.3104767193037583,1.2115609555429077,,,,0.0090976872803064,0.0113739758311765,0.0170627947350374,0.0227541128436814,,,,1.2502137371632809,1.5001753434843252,1.3335519556156883,,,,0.0548494381685239,0.0614979550941044,0.0954979714713202,0.0276132410705434,,,,0.0002137371632807,1.25,0.0001753434843253,1.5,0.0002186222823552,1.3333333333333333,,,,,,,178.4562384904661,81.86112772903596,181.97007340231676,120.95170462766066,181.4465617601536,76.83935415422486,,,,,,,148.63846281994986,133.71486992131963,151.86593408679204,57.51690480234178,,,,,,,general_v10,1.0,1646,1.7334134489052169,1.4625641957882662,1.3969618896691813,,,,1646,4.712180548589898,0.7457150115905264,3.00754159270969,,,,1646,0.00017098973062479317,0.00011689565621675335,0.00016396671176632793,,,
1722,136,4.0,5,0.1,0.1404025731180789,0.2562082467705924,0.3769411584444992,0.6239893908656726,,,1.349627603148026e-05,3.029412712158927e-05,2.390176511368189e-06,8.930652866938812e-07,1.1506469200588993e-06,,,0.94,0,5.713526195596941,5.334692528838171,3.756020487025914,5.621192854813239,3.5271801778068697,,,1.453866268858064,0.650055661018274,4.28193784859474,3.994631595617029,1.1788636732518143,,,4181.456058823521,1.5,0.0,0.0932625318486879,0.0932625318486879,20.615360947503653,20.615360947503653,16211.268254188037,334201.1464768938,0.05,0.01,1002603.4394306814,False,0.0499011314092588,0.0653927945310489,0.0856945908127881,0.1119450150723002,0.1466887034258268,,,1.3104471425510158,1.3104593264268234,1.3063290072268448,1.3103638889949023,,,0.0114975881643876,0.0172476132730827,0.0258740376025827,0.0386314084646633,0.0579466244068972,,,1.5001070958142169,1.5001520337077023,1.4930662692577203,1.4999874034885603,,,0.1176838578521107,0.0675371458891136,0.0958110177897835,0.0375801154518856,0.0806021145718021,,,0.0001070958142169,1.5,0.0001520337077023,1.5,-0.0069337307422799,1.5,-1.259651143918017e-05,1.5,,,,,165.97559465841564,4.129041342322455,179.46481401931229,66.60370683118343,173.9147612137351,119.60364738531344,167.5531815115923,20.258850519682507,,,,,162.85152393193954,62.39125015620935,190.3806904451498,97.33667424435036,179.06491978976584,139.44058622698967,,,,,general_v10,1.0,1722,1.6636375728728936,2.4650940999120188,1.7845184002066938,2.129881335835986,,,1722,2.244628596134799,0.07889900579656633,0.3736398891237832,1.2884241916048296,,,1722,7.139720947790806e-05,0.00010135580513481734,-0.004622487161519806,-8.397674293170176e-06,,
