,level_0,index,pnum,pl_orbsmax_0,pl_orbsmax_1,pl_orbsmax_2,pl_orbsmax_3,pl_orbsmax_4,pl_orbsmax_5,pl_orbsmax_6,pl_mass_0,pl_mass_1,pl_mass_2,pl_mass_3,pl_mass_4,pl_mass_5,pl_mass_6,st_mass,kep_angles,arg_peri_0,arg_peri_1,arg_peri_2,arg_peri_3,arg_peri_4,arg_peri_5,arg_peri_6,mean_anom_0,mean_anom_1,mean_anom_2,mean_anom_3,mean_anom_4,mean_anom_5,mean_anom_6,Sigma,alpha,beta,h,h_outermost,K,K_outermost,taue,taua,disk_inner_edge,disk_inner_edge_width,itime,close_encounter_flag,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_ratio_01,a_ratio_12,a_ratio_23,a_ratio_34,a_ratio_45,a_ratio_56,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_ratio_01,p_ratio_12,p_ratio_23,p_ratio_34,p_ratio_45,p_ratio_56,e_0,e_1,e_2,e_3,e_4,e_5,e_6,delta_wu_01,prox_res_01,delta_wu_12,prox_res_12,delta_wu_23,prox_res_23,delta_wu_34,prox_res_34,delta_wu_45,prox_res_45,delta_wu_56,prox_res_56,phi_cen_2_01,phi_amp_2_01,phi_cen_2_12,phi_amp_2_12,phi_cen_2_23,phi_amp_2_23,phi_cen_2_34,phi_amp_2_34,phi_cen_2_45,phi_amp_2_45,phi_cen_2_56,phi_amp_2_56,phi_cen_3_012,phi_amp_3_012,phi_cen_3_123,phi_amp_3_123,phi_cen_3_234,phi_amp_3_234,phi_cen_3_345,phi_amp_3_345,phi_cen_3_456,phi_amp_3_456,parameter_method,tmp,index,p_i_01,p_i_12,p_i_23,p_i_34,p_i_45,p_i_56,index,m_01,m_12,m_23,m_34,m_45,m_56,index,delta_01,delta_12,delta_23,delta_34,delta_45,delta_56
12,12,3.0,7,0.1,0.215965976,0.379880244,0.718544459,1.392579232,1.865041911,4.434376152,1.94e-05,2.66e-05,3.25e-05,1.59e-05,1.55e-05,1.31e-05,7.72e-06,0.94,0,5.010822277,1.404428575,0.597321205,3.911391042,3.667658633,1.163216095,6.103668519,6.245962157,3.706848528,4.527750293,6.188484,1.616152748,2.896457481,4.21120055,39.8053332,1.5,0.0,0.097120729,0.097120729,19.00997221,19.00997221,2120953.342,40319264.1,0.05,0.01,10000000.0,0.0,0.049904635,0.079223369,0.125773364,0.199698728,0.317150609,0.415738831,3.337479732,1.587495215,1.587579078,1.587766455,1.58814537,1.310856254,8.027828311,0.011498763,0.022999246,0.046005436,0.092041864,0.184211698,0.276469192,6.288427379,2.00014963,2.000301925,2.00067365,2.001390359,1.500823444,22.74549386,0.147155334,0.178079899,0.04392572,0.025621928,0.017561149,0.01906892,6.05e-06,0.00014963,2.0,0.000301925,2.0,0.00067365,2.0,0.001390359,2.0,0.000823444,1.5,18.74549386,4.0,127.0526625,6.121441597,180.6731323,15.58749448,179.3193932,26.84120812,180.2349972,59.07687758,180.1824839,45.68679129,176.9727526,143.7965529,69.20864284,10.66547078,200.9296901,207.8763992,183.8822913,103.885328,187.0558698,120.256522,179.5745795,146.8749724,'general_v9',1.0,12,3.173776508619661,2.332870842041592,2.601442549053164,2.698046911109629,1.5498996377032417,3.666208367214782,12,1.3711340206185567,1.2218045112781954,0.4892307692307693,0.9748427672955975,0.8451612903225806,0.5893129770992367,12,7.481500000006136e-05,0.0001509625000000181,0.00033682499999998505,0.0006951795000000871,0.000548962666666597,4.686373465
59,13,1.0,7,0.1,0.2021097489281743,0.2498658217710445,0.3662358665292,0.6087788271596857,1.373828458994433,2.6413343981274924,1.6300302416399295e-05,2.947064586843896e-05,1.03735047265067e-05,1.5041085940342003e-05,2.091918233640903e-05,4.236281778813016e-06,5.178285864617119e-06,1.02,0,1.900824006455624,2.1540897261572125,4.4138957919493125,0.9582253695123022,4.563117305303803,3.706886041292444,1.3206570107520754,0.5913416735557268,1.4081945179461663,3.361572970731429,3.721385047289168,3.856479600798476,3.7479922034655497,2.77338977883414,97.48634320861868,1.5,0.0,0.0679632139700591,0.0679632139700591,38.82017858345224,38.82017858345224,208486.6707199676,8093489.789618544,0.05,0.01,10000000.0,0.0,0.0498763186497503,0.0653612984036631,0.1037749317400564,0.1360105855406153,0.1782683392764035,0.2336898698248557,0.3064063043356398,1.3104675777989845,1.5877122150402618,1.310630451223068,1.3106946173932243,1.310888263866402,1.311166580478955,0.0110292563991361,0.0165454803104555,0.0331005225170051,0.0496651818898047,0.0745246318980736,0.1118529533519121,0.1679318517260883,1.5001446843861772,2.000577921376625,1.500434983255478,1.5005408613921596,1.5008857441985095,1.5013631731218815,0.0944931568080672,0.0786027865550433,0.039363041649729,0.040623147201225,0.0247114470763052,0.0259817116382308,0.0085635147748928,0.0001446843861772,1.5,0.0005779213766252,2.0,0.0004349832554778,1.5,0.0005408613921599,1.5,0.0008857441985093,1.5,0.0013631731218812,1.5,179.10185830565462,0.2498062203969601,197.59562543484316,8.158625574426756,185.79214534156023,9.889889201789874,179.08719562076533,7.044833864547816,179.95938195600814,19.759391495505756,176.66190410622673,90.1165956201925,171.13298932074233,7.605376513012662,244.1137538064941,24.26719886666813,185.0460714752713,21.784359545748543,179.9373820001504,35.817432189976046,183.9827450149492,96.14326014641917,general_v10,1.0,59,2.8732809276142324,1.374622517056707,1.7745164717934017,2.1431212741097703,3.3901038715718625,2.665852505639933,59,1.8079815401945756,0.3519944819945739,1.4499521942577955,1.3908026600859493,0.20250704404635983,1.2223657761661093,59,9.645625745147157e-05,0.00028896068831252286,0.0002899888369853887,0.0003605742614396501,0.0005904961323397462,0.0009087820812543335
135,89,22.0,7,0.1,0.1401772230279152,0.233353956514432,0.3101627226593627,0.6942464097059705,0.9548600748975172,1.378277816009302,1.7882226610238935e-05,1.2276882824620435e-05,6.133503070045912e-06,6.8101078760721736e-06,4.652225168704422e-06,7.783915664515207e-06,3.755779844040787e-06,0.91,0,2.2083030914691766,4.954996678463202,2.841181006181765,4.066729601143209,4.634792834929533,2.229990620176383,5.09263563088815,4.104005300480468,0.6364584755826393,5.931741736952276,5.175012816798012,0.4720359117513403,5.057236922791982,2.738152903953241,50.39711662789518,1.5,0.0,0.0251962385320672,0.0251962385320672,282.44502108372353,282.4450210837236,4618.752596241556,1304543.674425949,0.05,0.01,3913631.023277848,0.0,0.0502482564043207,0.0797656007477595,0.126655405012959,0.1659938902416263,0.2175802192698805,0.2636586618151504,0.4190224260149505,1.5874308837378768,1.5878462859284284,1.3105946898367975,1.3107724840014243,1.2117768067436494,1.5892609929907149,0.0118076848655744,0.0236158665273222,0.0472513744084317,0.0708949627336022,0.1063910822546519,0.1419179467303301,0.2843343032604919,2.0000439540237345,2.000835536038146,1.500379072546658,1.5006861303192158,1.3339271068794611,2.0035119647465613,0.0185200274145631,0.0244753625435566,0.0185223683058919,0.0242666603664002,0.02139849434117,0.0092126742687886,0.00091123288925,4.395402373432944e-05,2.0,0.0008355360381459,2.0,0.0003790725466581,1.5,0.000686130319216,1.5,0.0005937735461276,1.3333333333333333,0.0035119647465612,2.0,168.1264740354333,116.3748838915007,172.9370124988978,47.50177392707335,173.88563268171663,19.663605722150876,184.19821367868929,7.446500515986032,187.17705849299804,5.113200687459237,161.80792347348915,0.5839764951546925,187.07936562734636,161.28125020852585,229.8132974017769,62.6179597808461,153.60654482979132,26.452124241710127,148.52948175600915,9.213886850399824,190.58282504026803,5.3749347999893535,general_v10,1.0,135,1.6596538426059788,2.1478702407758625,1.5323623960528983,3.3487796984223026,1.6130149446389879,1.7341893232526517,135,0.6865410606971609,0.4995977527573691,1.11031294813083,0.6831353120044347,1.6731596993365039,0.4825052076504868,135,2.1977011867235774e-05,0.00041776801907289496,0.000252715031105355,0.0004574202128104776,0.0004453301595959136,0.0017559823732806734
137,91,23.0,6,0.1,0.1453638353037734,0.216057578727511,0.3215466502807831,0.4557500208127742,0.6740573887503385,,4.15370552571166e-06,1.700058298723477e-05,3.7261415799457454e-05,1.6422351153314823e-05,1.416680195180232e-05,1.5850643211516597e-05,,0.29,0,1.5073519136365614,0.0816787466387232,6.052115842341382,4.119912955836825,1.08108223405551,5.778799914548586,,5.793542567048438,1.2711176680354763,5.540741507668393,1.1664780270726838,1.866007057599496,3.028292692344986,,14.972806714987277,1.5,0.0,0.0184199006414328,0.0184199006414328,528.4827049871556,528.4827049871554,92.57244029316128,48922.93365339182,0.05,0.01,146768.80096017546,0.0,0.0315065554279739,0.0384367276831018,0.0505128514857902,0.0807254186254383,0.1282298698425064,0.2039239232662242,,1.2201155743378809,1.3141898820668343,1.5981190300438788,1.5884701859529375,1.5903004967294343,,0.0103855167392381,0.0139930949894432,0.0210798980108452,0.042586182545732,0.0852563005167825,0.1709751518782787,,1.3477536203159688,1.5064706138279556,2.020234516012882,2.0019727421644977,2.005427682099868,,0.0378831891445901,0.0266256636090153,0.0147170419402044,0.0195316582122238,0.0182846143007999,0.0031086679676981,,0.0144202869826354,1.3333333333333333,0.0064706138279555,1.5,0.0202345160128821,2.0,0.0019727421644972,2.0,0.0054276820998682,2.0,,,179.26766899096012,132.69096511277095,169.152935111067,105.2946810797165,160.60205994633364,96.2673913695338,158.22926594167456,51.63565486676888,153.73371743594808,27.54591619315615,,,180.4554013514774,145.00121439520217,201.15978263655532,113.21232128101104,178.289622353217,147.83145345822422,208.53026507284696,63.40247728373793,,,general_v10,1.0,137,1.7525682524687531,1.8119847082117,1.8156299152528146,1.6874299382718545,1.7986804070244415,,137,4.092871505213899,2.1917728249340587,0.4407334182281378,0.8626536979720334,1.1188582479971816,,137,0.010815215236976705,0.004313742551970368,0.010117258006441032,0.0009863710822488603,0.002713841049934107,
241,90,4.0,4,0.1,0.1361614924244936,0.2213368688438298,0.3636774042327167,,,,3.957734934350918e-05,3.0464089161409177e-05,1.409360353057364e-05,4.769122899670946e-05,,,,0.99,0,0.0425035748774719,5.507815305228845,4.396928848813734,5.213805264353823,,,,0.8906266740756191,6.082721402877982,2.302480293410518,1.7115790888791558,,,,134.91622577320814,1.5,0.0,0.0284520851061608,0.0284520851061608,221.50174274860063,221.50174274860063,66.14722456496628,14651.72551912308,0.05,0.01,43955.17655736924,0.0,0.0501923932944999,0.079704155872956,0.1044545966487175,0.1266084353225329,,,,1.58797410111727,1.3105315209623627,1.2120993184732716,,,,0.0113015718461157,0.0226150150467405,0.0339284895034502,0.0452747266479049,,,,2.0010540740941583,1.5002706989285968,1.3344377999438108,,,,0.0250707212186266,0.0451961106675234,0.0631121525858613,0.0136581121799857,,,,0.001054074094158,2.0,0.0002706989285969,1.5,0.0011044666104778,1.3333333333333333,,,,,,,155.32555705779984,94.54203165885784,164.8003139712747,85.18882342146803,170.74554506960527,78.16728026622873,,,,,,,195.4710280431258,121.89154677530918,195.11153271038057,141.9536736921029,,,,,,,general_v10,1.0,241,1.5888520301944546,2.07253932170546,2.1061362639216594,,,,241,0.7697354589615888,0.4626300643981477,3.3838917699970468,,,,241,0.0005270370470791264,0.0001804659523978458,0.0008283499578582987,,,
340,189,2.0,3,0.1,0.188292522637359,0.4678580501572691,,,,,4.379992578563783e-06,8.38115269242863e-05,6.096460028378909e-05,,,,,0.91,0,2.3282647165934334,5.639344941022962,2.2797149982988656,,,,,2.409147792974247,5.028082552584263,2.0747761909299767,,,,,71.31994079287541,1.5,0.0,0.0214625559267689,0.0214625559267689,389.2624090325946,389.2624090325946,35.933710718803795,13987.642799881933,0.05,0.01,41962.9283996458,0.0,0.0315731418482444,0.0502598295460967,0.0799454219308165,,,,,1.591854950098795,1.590642532300802,,,,,0.0058811635824159,0.011811307618313,0.0236942144922029,,,,,2.008331291553174,2.006061959065134,,,,,0.0358115258011263,0.0153457865940921,0.0048785557260252,,,,,0.0083312915531741,2.0,0.006061959065134,2.0,,,,,,,,,178.1975676286428,140.58475142970966,166.31785900912425,5.2314930806246105,,,,,,,,,181.7235727210441,153.5983549223137,,,,,,,,,general_v10,1.0,340,2.5836320156787203,3.916760355242789,,,,,340,19.13508423152818,0.7274011406433786,,,,,340,0.004165645776587068,0.003030979532566924,,,,
370,219,3.0,6,0.1,0.1571713896546661,0.2216860792421841,0.4911924873842551,1.0638341939326177,1.9508436187164813,,8.178710328917555e-05,3.050830883449197e-05,5.658510510678075e-06,1.5276663418696132e-05,5.043792104471663e-06,6.728751958786384e-06,,0.73,0,6.257920350904859,4.60430275031956,4.327287726031905,5.460419465395057,5.02746103339281,1.693693191281047,,5.19703509313321,1.9221961382747068,5.092566338735491,5.6785331837143564,1.6083567409302904,4.398849929784606,,15.668695442420828,1.5,0.0,0.065486850173741,0.065486850173741,41.811634160609714,41.81163416060972,384808.4627848429,16089470.667866452,0.05,0.01,10000000.0,0.0,0.0502907426976851,0.0798866043633854,0.1269673365513936,0.1665819918848305,0.265421371193482,0.7416627723548538,,1.5884952233018317,1.58934452208493,1.312006671462444,1.593337721251354,2.794284308071844,,0.013199410001731,0.0264255669715204,0.0529480173777412,0.0795699749004035,0.160032974488665,0.7475052891279578,,2.002026386642799,2.003666293579046,1.5027942428058838,2.011223139168469,4.67094542212215,,0.0286836873724068,0.0141562863707282,0.0109582481665966,0.0037992188048485,0.0007370060883595,2.495217236128832e-06,,0.0020263866427992,2.0,0.0036662935790459,2.0,0.0027942428058838,1.5,0.0112231391684688,2.0,0.6709454221221501,4.0,,,179.92946944797546,0.223467955409027,179.81490609875024,0.5575064018370036,179.17514139539713,0.925248606552398,178.06358399955263,0.8232448720170079,188.1197771474836,145.52951400192757,,,181.5908107878187,0.0596858983265669,184.81993116645955,0.092746399034314,182.61578312824992,0.0628288029139641,174.3471042789651,145.5183836823439,,,general_v10,1.0,370,1.9704957019383613,1.6751541817431121,3.2981247528784134,3.1873986781959087,2.4832604217491165,,370,0.37302102174499824,0.1854744076892488,2.6997676137329445,0.33016320162548635,1.3340660795318844,,370,0.001013193321399486,0.0018331467895229547,0.001862828537255945,0.005611569584234477,0.16773635553053756,
413,262,4.0,7,0.1,0.1798718083586277,0.3011246564543233,0.5855854642969891,1.7899354308170925,3.829919678749343,7.642584814028724,2.3082900674415976e-05,1.1463074710176492e-05,2.0091742341179427e-06,8.385442304746226e-07,1.0824173971751096e-06,3.99023606771539e-07,2.998479879153976e-07,0.94,0,6.111514701566642,0.1640931370927075,0.6391730944442394,1.1703657837665555,5.17822825463306,4.390495023846047,3.338753572624115,4.798101697448532,2.283493673347178,4.6670704896580695,4.693405120082658,2.62808736707331,6.271378463709286,4.234673822417862,10.111160022149708,1.5,0.0,0.0310721148536434,0.0310721148536434,185.72215686562544,185.72215686562544,3882415.3593882113,721050554.393811,0.05,0.01,10000000.0,0.0,0.0502839804836625,0.0798510787932862,0.1268463756335728,0.2899149653003013,1.4082752410597947,3.689224404802898,7.536859213506453,1.588002342681027,1.5885367808791866,2.2855597088037527,4.857553630325927,2.619676029645508,2.042938677897157,0.0116300991424584,0.0232732737042819,0.0465964601270354,0.1610059564054486,1.7237200306333071,7.308662459287627,21.341298006265912,2.001124274905083,2.002144637563957,3.455325920385381,10.705978018914532,4.240053199887378,2.920000508653195,0.0155416136214698,0.0080124654765043,0.002094428057613,1.707481733758339e-06,1.4034085488273697e-07,3.473145672126811e-07,1.867634664540811e-07,0.0011242749050833,2.0,0.0021446375639571,2.0,0.4553259203853813,3.0,6.705978018914533,4.0,0.2400531998873784,4.0,-0.0799994913468045,3.0,179.4147595469601,0.1093855812844499,179.5053757397596,0.2650191079466475,178.6038073990392,147.76143001089983,182.332161108935,148.85340082084252,182.73203269573904,148.1353359752915,183.1588523018737,106.0370998370994,180.2448553937213,0.0131364571090854,180.5182793068366,147.8076072723391,180.3831120804681,146.67209719181014,172.64690173820512,144.47308380308058,177.57109762192147,144.4701905982447,general_v10,1.0,413,2.412388978128631,2.1660925509671043,2.711853510309611,5.344050567335512,3.129886650529262,2.8188756909712,413,0.4966046023358596,0.17527358801336893,0.41735764685572724,1.2908292226427376,0.36864116173013284,0.7514542569083528,413,0.0005621374525415224,0.001072318781978554,0.15177530679512707,1.676494504728633,0.06001329997184457,-0.02666649711560165
486,335,6.0,3,0.1,0.1900618507147888,0.2911915249284608,,,,,3.5455421828544946e-06,4.81679404726373e-05,3.591211410643648e-05,,,,,0.39,0,2.9411178902160766,4.905918854914022,1.4742269813525912,,,,,4.27553592222058,2.2126438615584583,2.484340979608948,,,,,15.602127051036838,1.5,0.0,0.0177262985572523,0.0177262985572523,570.6492178768095,570.6492178768096,22.65749616208448,12929.482463940323,0.05,0.01,38788.44739182098,0.0,0.0315501144126912,0.0502590657509721,0.0800457882606699,,,,,1.5929923025951769,1.5926636989057243,,,,,0.0089737796814666,0.018041337292889,0.0362605882303082,,,,,2.010452344307368,2.0098615179404,,,,,0.0288832272852934,0.0129935141152817,0.0041881878304344,,,,,0.0104523443073677,2.0,0.0098615179404004,2.0,,,,,,,,,179.27889810144825,122.84148569537024,167.83888570990993,3.8682280425298186,,,,,,,,,184.7961901835625,150.68216185123995,,,,,,,,,general_v9,1.0,486,2.6200983114018306,1.896411099430289,,,,,486,13.58549355457325,0.745560506719963,,,,,486,0.005226172153683928,0.0049307589701999,,,,
499,348,3.0,7,0.1,0.1592419014509214,0.3587079250327688,0.5233099626246258,0.809260735225881,1.1075915481443157,1.4021478055386658,1.7306252344936244e-05,5.352583432835828e-05,1.8681410947023253e-05,2.5955250945096406e-05,5.195482378474574e-06,3.4556025446681217e-06,1.4240380546125743e-05,0.96,0,5.423764818185656,3.7140480604627992,5.65432725070086,4.2175212540007605,0.6809213814528414,3.142707484521789,2.470695552740978,1.1764958973002582,4.32489327468298,0.1267035822264394,4.317775408709354,6.2530052910131575,5.537339817183181,2.8524245376382686,16.30536398775474,1.5,0.0,0.0149157823913338,0.0149157823913338,805.959591818667,805.9595918186671,509.70808852431344,410804.1229737287,0.05,0.01,1232412.368921186,0.0,0.031632678659471,0.050316154066817,0.0799505553090568,0.1271621253834429,0.2019019345247217,0.2646158215702284,0.320633845869554,1.5906388434016854,1.5889641448912042,1.590509614076918,1.5877521244759318,1.310615583617779,1.2116956756205013,0.0057421251066808,0.0115190784542833,0.0230719641244263,0.0462789115511154,0.0925882795319107,0.138921103280866,0.1852914321142663,2.0060665879826267,2.0029354194576,2.005850586394906,2.000658110593274,1.500417808780398,1.3337889551313982,0.0236664331646232,0.0083872022899278,0.0116971024358028,0.0073520478737561,0.0267173723556653,0.0353148293960321,0.006738080302281,0.0060665879826268,2.0,0.0029354194575992,2.0,0.0058505863949057,2.0,0.0006581105932742,2.0,0.0004178087803978,1.5,0.0004556217980648,1.3333333333333333,170.8217483376601,133.77257042195183,175.3192765462856,33.756115220509834,159.0337787755363,11.68104075359536,165.36337707936113,4.999541940161959,151.00155848344502,0.2914555421835021,170.4452726301055,0.4768988362279036,201.98871099967243,141.2702517688676,219.51820359031632,20.888393115067384,184.8340367591553,148.77453437863213,264.8287252841643,0.8400649373814927,190.2836870095417,0.3656009255529619,general_v10,1.0,499,2.009452939493381,3.3809076409390157,1.76207910489427,1.9230868374092431,1.601168874933605,1.424356841412855,499,3.0928610805804975,0.34901671653393995,1.389362453333975,0.2001707627279223,0.6651167866500797,4.120954410135555,499,0.003033293991313357,0.0014677097288000596,0.0029252931974530494,0.0003290552966370708,0.000278539186931992,0.0003417163485486263
