,level_0,index,pnum,pl_orbsmax_0,pl_orbsmax_1,pl_orbsmax_2,pl_orbsmax_3,pl_orbsmax_4,pl_orbsmax_5,pl_orbsmax_6,pl_mass_0,pl_mass_1,pl_mass_2,pl_mass_3,pl_mass_4,pl_mass_5,pl_mass_6,st_mass,kep_angles,arg_peri_0,arg_peri_1,arg_peri_2,arg_peri_3,arg_peri_4,arg_peri_5,arg_peri_6,mean_anom_0,mean_anom_1,mean_anom_2,mean_anom_3,mean_anom_4,mean_anom_5,mean_anom_6,Sigma,alpha,beta,h,h_outermost,K,K_outermost,taue,taua,disk_inner_edge,disk_inner_edge_width,itime,close_encounter_flag,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_ratio_01,a_ratio_12,a_ratio_23,a_ratio_34,a_ratio_45,a_ratio_56,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_ratio_01,p_ratio_12,p_ratio_23,p_ratio_34,p_ratio_45,p_ratio_56,e_0,e_1,e_2,e_3,e_4,e_5,e_6,delta_wu_01,prox_res_01,delta_wu_12,prox_res_12,delta_wu_23,prox_res_23,delta_wu_34,prox_res_34,delta_wu_45,prox_res_45,delta_wu_56,prox_res_56,phi_cen_2_01,phi_amp_2_01,phi_cen_2_12,phi_amp_2_12,phi_cen_2_23,phi_amp_2_23,phi_cen_2_34,phi_amp_2_34,phi_cen_2_45,phi_amp_2_45,phi_cen_2_56,phi_amp_2_56,phi_cen_3_012,phi_amp_3_012,phi_cen_3_123,phi_amp_3_123,phi_cen_3_234,phi_amp_3_234,phi_cen_3_345,phi_amp_3_345,phi_cen_3_456,phi_amp_3_456,parameter_method,tmp,index,p_i_01,p_i_12,p_i_23,p_i_34,p_i_45,p_i_56,index,m_01,m_12,m_23,m_34,m_45,m_56,index,delta_01,delta_12,delta_23,delta_34,delta_45,delta_56
152,1,0.0,3,0.1,0.1286788804885763,0.1895797356352868,,,,,3.834229433087621e-05,1.6565896820306387e-05,3.504638005893422e-06,,,,,0.64,0,1.314171284064243,2.7253303461675524,5.158722463934075,,,,,0.2670606335893994,4.958491162947737,4.019781224995055,,,,,192.27151332970143,1.5,0.0,0.0267383163508754,0.0267383163508754,250.80560113065297,250.805601130653,133.48387634968648,33478.503849132874,0.05,0.01,100435.51154739862,0.0,0.0502893464375537,0.0799077644082942,0.1268941575019117,,,,,1.5889600922374083,1.5880078766373358,,,,,0.0140967563652447,0.0282346922080566,0.0565016122836999,,,,,2.002921210547722,2.0011414912409338,,,,,0.0116070670048786,0.0076346368955565,0.0073011808367771,,,,,0.002921210547722,2.0,0.0011414912409336,2.0,,,,,,,,,154.89712359203725,3.8048392451513777,151.3101219166064,86.30572117371842,,,,,,,,,191.0543524852417,157.7475483386077,,,,,,,,,general_v9,1.0,152,1.459715767030431,1.7882629992147716,,,,,152,0.43205283119863364,0.21155739673553053,,,,,152,0.0014606052738610487,0.0005707456204668837,,,,
171,20,2.0,4,0.1,0.1673020617558331,0.1998112991068101,0.2794616793553425,,,,2.7700166193936355e-05,1.2105109702631236e-05,2.3313632485708903e-05,7.276978292649042e-06,,,,1.05,0,5.9077648516715815,2.1859411334057444,0.1026422691417904,0.8051011026797538,,,,1.8514529580752728,1.86267565607449,2.0967493406836426,1.1558507138282086,,,,270.8363098649009,1.5,0.0,0.0279108791129296,0.0279108791129296,230.17508608966085,230.17508608966088,167.8537801506084,38635.7582966413,0.05,0.01,115907.27488992392,0.0,0.0502528617020952,0.079798993231553,0.0901150860013946,0.1431428901400561,,,,1.5879493117973655,1.1292839587425707,1.5884476342304723,,,,0.0109938301132694,0.0219989613311061,0.0263995779914912,0.0528510557701914,,,,2.0010281711133597,1.2000565599952473,2.0019723842655632,,,,0.0166827736386302,0.0449505239181839,0.0248461327513526,0.0033440718640562,,,,0.0010281711133595,2.0,5.655999524733613e-05,1.2,0.0019723842655629,2.0,,,,,,,116.49710907816014,27.45134127407098,178.37371744560198,107.02083085467396,169.57568359402626,6.163339836825827,,,,,,,181.36949490789388,151.63419883654817,176.36981761862373,112.9987570706335,,,,,,,general_v10,1.0,171,2.163989577211908,1.3051962209044845,1.6540805238384604,,,,171,0.43700494855807326,1.9259331851111863,0.3121340399060412,,,,171,0.0005140855566798663,4.7133329372783805e-05,0.0009861921327816159,,,
241,90,4.0,4,0.1,0.1361614924244936,0.2213368688438298,0.3636774042327167,,,,3.957734934350918e-05,3.0464089161409177e-05,1.409360353057364e-05,4.769122899670946e-05,,,,0.99,0,0.0425035748774719,5.507815305228845,4.396928848813734,5.213805264353823,,,,0.8906266740756191,6.082721402877982,2.302480293410518,1.7115790888791558,,,,134.91622577320814,1.5,0.0,0.0284520851061608,0.0284520851061608,221.50174274860063,221.50174274860063,66.14722456496628,14651.72551912308,0.05,0.01,43955.17655736924,0.0,0.0501923932944999,0.079704155872956,0.1044545966487175,0.1266084353225329,,,,1.58797410111727,1.3105315209623627,1.2120993184732716,,,,0.0113015718461157,0.0226150150467405,0.0339284895034502,0.0452747266479049,,,,2.0010540740941583,1.5002706989285968,1.3344377999438108,,,,0.0250707212186266,0.0451961106675234,0.0631121525858613,0.0136581121799857,,,,0.001054074094158,2.0,0.0002706989285969,1.5,0.0011044666104778,1.3333333333333333,,,,,,,155.32555705779984,94.54203165885784,164.8003139712747,85.18882342146803,170.74554506960527,78.16728026622873,,,,,,,195.4710280431258,121.89154677530918,195.11153271038057,141.9536736921029,,,,,,,general_v10,1.0,241,1.5888520301944546,2.07253932170546,2.1061362639216594,,,,241,0.7697354589615888,0.4626300643981477,3.3838917699970468,,,,241,0.0005270370470791264,0.0001804659523978458,0.0008283499578582987,,,
305,154,0.0,5,0.1,0.1287861473991471,0.2784397103645778,0.4937688290830673,0.8558613431936493,,,1.4836784656168622e-05,2.3910509795204657e-05,9.811105755845826e-06,1.4014973981146516e-05,1.4973402986068418e-06,,,1.08,0,0.5396307718070597,3.222833547431965,3.441107764817721,4.814793370870784,0.1165912298834809,,,0.9034991421636224,4.8574308846451295,5.353766618289942,4.68935780873743,0.457151482574217,,,50.477586647166405,1.5,0.0,0.1205719678809983,0.1205719678809983,12.334247176345636,12.334247176345636,4869609.795706645,60062970.87259972,0.05,0.01,10000000.0,0.0,0.0500871500795874,0.0626844317909043,0.1304117018532777,0.2070071541270639,0.7164794874487851,,,1.251507352780761,2.0804481237583565,1.5873361922073412,3.4611343072785963,,,0.0107865567222212,0.0151017779051863,0.0453170310491679,0.0906278741683713,0.5835648128658361,,,1.400055727083074,3.000774911216228,1.999864759106647,6.4391331770149325,,,0.1069390674996559,0.1091752208422646,0.1906044476085845,0.0469697321569426,0.0121426407720058,,,5.572708307413965e-05,1.4,0.0007749112162276,3.0,-0.0001352408933532,2.0,2.4391331770149325,4.0,,,,,179.9452510604391,1.735075933770629,179.65959334017398,90.22308792219374,178.9497885557706,39.87887068402949,175.58185262518674,146.18181967299404,,,,,178.69217015292944,146.3569020626621,180.2041827575094,151.51100851696907,181.6338290698942,147.8769072980706,,,,,general_v10,1.0,305,1.4615103762211945,3.1790390849442915,2.3614997279640746,2.2820340918866453,,,305,1.6115695111382164,0.4103260800325336,1.4284805739450794,0.10683860709417811,,,305,3.9805059338648974e-05,0.0002583037387426934,-6.762044667651956e-05,0.6097832942537331,,
340,189,2.0,3,0.1,0.188292522637359,0.4678580501572691,,,,,4.379992578563783e-06,8.38115269242863e-05,6.096460028378909e-05,,,,,0.91,0,2.3282647165934334,5.639344941022962,2.2797149982988656,,,,,2.409147792974247,5.028082552584263,2.0747761909299767,,,,,71.31994079287541,1.5,0.0,0.0214625559267689,0.0214625559267689,389.2624090325946,389.2624090325946,35.933710718803795,13987.642799881933,0.05,0.01,41962.9283996458,0.0,0.0315731418482444,0.0502598295460967,0.0799454219308165,,,,,1.591854950098795,1.590642532300802,,,,,0.0058811635824159,0.011811307618313,0.0236942144922029,,,,,2.008331291553174,2.006061959065134,,,,,0.0358115258011263,0.0153457865940921,0.0048785557260252,,,,,0.0083312915531741,2.0,0.006061959065134,2.0,,,,,,,,,178.1975676286428,140.58475142970966,166.31785900912425,5.2314930806246105,,,,,,,,,181.7235727210441,153.5983549223137,,,,,,,,,general_v10,1.0,340,2.5836320156787203,3.916760355242789,,,,,340,19.13508423152818,0.7274011406433786,,,,,340,0.004165645776587068,0.003030979532566924,,,,
433,282,6.0,5,0.1,0.1873293832767161,0.2804106358978296,0.6998365773257494,1.2934879741156318,,,3.577100526579594e-05,1.8592589609413818e-05,2.6232270877709307e-06,1.7019033347556118e-06,9.634293622823853e-07,,,0.94,0,2.33627479754906,2.0939962580617117,2.4720888156174103,3.293539353309545,6.002033536579659,,,5.426872630500615,5.943241747388822,3.660968967776941,3.92474693253364,5.961637608992777,,,18.805222700907223,1.5,0.0,0.1122955221145839,0.1122955221145839,14.21937370695303,14.219373706953036,18758339.38540457,266731837.8429233,0.05,0.01,10000000.0,0.0,0.0502811349171613,0.0798283406643093,0.1660953159554078,0.6143897065318789,1.2451166627380472,,,1.5876399932091971,2.0806560002657277,3.699018865135483,2.0265910802344287,,,0.0116290334552271,0.0232630883706155,0.0698179654952993,0.4967028150116709,1.4329979329735876,,,2.000431805665936,3.001233732164984,7.1142550857132685,2.88502094951515,,,0.0601176915190352,0.0146976834734448,0.003171522024476,3.81352617056184e-06,1.9916799488520457e-06,,,0.0004318056659357,2.0,0.0012337321649841,3.0,3.1142550857132694,4.0,-0.1149790504848499,3.0,,,,,179.96239153430582,7.356666071673968,177.76369577345068,75.02963943592064,181.20535719086516,149.1696328820408,183.4216963026132,145.08435611075362,,,,,180.15691903724397,144.7224409770166,179.6211003166901,148.85809560766106,176.65122079403645,147.2323863740329,,,,,general_v10,1.0,433,2.5639693144573803,1.8314141165247027,3.9427881759028867,2.5127472567600986,,,433,0.5197670423646708,0.14108992576497983,0.6487823119430322,0.5660893557275571,,,433,0.00021590283296801793,0.00041124405499459726,0.7785637714283171,-0.038326350161616674,,
486,335,6.0,3,0.1,0.1900618507147888,0.2911915249284608,,,,,3.5455421828544946e-06,4.81679404726373e-05,3.591211410643648e-05,,,,,0.39,0,2.9411178902160766,4.905918854914022,1.4742269813525912,,,,,4.27553592222058,2.2126438615584583,2.484340979608948,,,,,15.602127051036838,1.5,0.0,0.0177262985572523,0.0177262985572523,570.6492178768095,570.6492178768096,22.65749616208448,12929.482463940323,0.05,0.01,38788.44739182098,0.0,0.0315501144126912,0.0502590657509721,0.0800457882606699,,,,,1.5929923025951769,1.5926636989057243,,,,,0.0089737796814666,0.018041337292889,0.0362605882303082,,,,,2.010452344307368,2.0098615179404,,,,,0.0288832272852934,0.0129935141152817,0.0041881878304344,,,,,0.0104523443073677,2.0,0.0098615179404004,2.0,,,,,,,,,179.27889810144825,122.84148569537024,167.83888570990993,3.8682280425298186,,,,,,,,,184.7961901835625,150.68216185123995,,,,,,,,,general_v9,1.0,486,2.6200983114018306,1.896411099430289,,,,,486,13.58549355457325,0.745560506719963,,,,,486,0.005226172153683928,0.0049307589701999,,,,
628,31,7.0,6,0.1,0.2008364341906015,0.605978539147593,1.0141207333942237,1.1575507156928315,2.7038150475138583,,7.261915153566188e-06,4.662841213419344e-06,6.0967565130445725e-06,6.658342076815003e-07,2.239148210513761e-06,4.812040160095637e-06,,0.85,0,2.530663624537405,3.58636187989564,0.4800178251181552,2.3973659001502603,0.4977653958875068,2.5426280162825083,,3.5284388920677063,5.502227618412063,4.545282741825677,2.253503922158177,6.085762473725705,4.139946809754256,,151.7702416236436,1.5,0.0,0.0248924130934025,0.0248924130934025,289.3818885755722,289.38188857557225,2019.5114332715723,584410.0325600883,0.05,0.01,1753230.097680265,False,0.0502333778536519,0.0797457705385618,0.1265984485117728,0.1813479140132965,0.2009724903449744,0.2633658922742707,,1.5875058023236943,1.587526008676666,1.4324655775647743,1.108217351128134,1.3104576777724035,,0.0122119625078085,0.024426273679978,0.0488581156194107,0.0837650903958749,0.0977233496402588,0.1465991524484906,,2.000192791859845,2.000229252338954,1.714456139184402,1.1666411715631362,1.500145221287251,,0.0199138906586143,0.0422626989023238,0.013605357671821,0.013355051120034,0.055548286773633,0.0159241003060024,,0.0001927918598452,2.0,0.0002292523389541,2.0,-0.0355438608155979,1.75,-2.549510353064388e-05,1.1666666666666667,0.0001452212872511,1.5,,,145.51160782642808,88.18808158806704,149.5334442351472,41.20907302745284,181.44434310767048,142.15480959575774,178.46268390534078,139.73457107536964,160.9022408793596,10.941591075279243,,,194.7315374282657,128.82250201972934,180.22821560631604,148.21529708948748,178.8859990243168,146.38189341194516,194.07465385396463,150.45444904091718,,,general_v10,1.0,628,2.84619346343256,5.241091556621138,2.1649606866458626,1.2194813056221252,3.569889488151738,,628,0.6420952482665006,1.3075196503579227,0.10921121849903086,3.3629215571706563,2.149049418658865,,628,9.639592992249923e-05,0.00011462616947710558,-0.0203107776089132,-2.1852945883304997e-05,9.681419150076032e-05,
661,64,15.0,7,0.1,0.163403149800376,0.3309280240610734,0.6406833904234635,1.460359953952101,3.644051969829115,6.733526862376508,4.3153413032849166e-07,2.4211992472024814e-07,1.3714007149784357e-06,2.498153706200969e-07,6.089477437860364e-07,2.876019642359223e-06,2.333893426036476e-06,0.76,0,2.371989536233813,2.8890110710253336,0.388710594776375,3.619845705170436,1.1883912930929676,2.5052237417790657,6.224803165144015,4.790002585466312,1.119698882766811,1.1166934908243855,5.330960542274912,3.355110216603493,0.5774273098447251,4.840377585762328,21.57646293728126,1.5,0.0,0.0998372427256573,0.0998372427256573,17.989545416150044,17.98954541615004,15957352.683109231,287065520.8143172,0.05,0.01,10000000.0,False,0.0567790675979725,0.1252405649701153,0.1988082896668781,0.6156375739565186,1.3993096118753467,3.355716691864046,6.49953422422321,2.205752969426628,1.587411308628557,3.0966415235535703,2.2729438077206927,2.398123081858814,1.936854293549892,0.0155197193432064,0.050841559347138,0.1016840130812022,0.5541003546480172,1.898765373002752,7.051437963740375,19.00738802693914,3.2759347922491133,2.000017579552022,5.4492462559398005,3.426753576323242,3.713696280083226,2.695533664002014,0.0031084917536335,0.182004814529998,0.0078316755581563,2.386944317646058e-05,2.1986002437017784e-06,4.748588322272293e-06,2.126557756264993e-06,0.2759347922491133,3.0,1.7579552022111143e-05,2.0,1.449246255939801,4.0,0.4267535763232426,3.0,-0.2863037199167739,4.0,0.1955336640020139,2.5,181.8937211056444,144.77169039137289,179.90165274101577,1.507037630398074,178.7623912809108,146.76977506354652,183.4108112930316,150.97103313867828,180.8978977176025,145.44942825583018,181.78743190385455,178.61129361197862,182.08477550159336,144.90733539652655,177.28932901193753,147.71506235032254,178.54825845171578,144.65582696469096,179.79498440437013,151.77949988411456,174.1981050565997,146.933578149476,general_v10,1.0,661,2.088770329905293,2.8821020932763437,2.693799071594399,3.4413161487954538,3.9417250064007914,2.5118124419295285,661,0.5610678454006455,5.664138201608103,0.182160741125197,2.437591178935442,4.722933407188645,0.8115012121829474,661,0.09197826408303778,8.78977601104225e-06,0.3623115639849501,0.1422511921077474,-0.07157592997919349,0.07821346560080555
780,183,41.0,4,0.1,0.2087074055981029,0.2827153619011633,0.512043687191894,,,,2.9257685841696523e-05,7.486517303505299e-06,5.987832492430955e-06,1.1688540002812796e-05,,,,0.925,0,4.3203975063015925,5.434711123265773,6.108364923167564,4.317287750517688,,,,0.8836425838695025,1.6894415359587638,5.384475058502039,2.599811904710175,,,,76.11642021497343,1.5,0.0,0.1012098349698171,0.1012098349698171,17.50491121317434,17.50491121317434,97400.38580005296,1704985.1055588538,0.05,0.01,5114955.316676562,False,0.0502889419803725,0.0798340776684176,0.1267551929021135,0.2012069406029851,,,,1.58750760424507,1.5877329351765943,1.5873666606559522,,,,0.0117257118091761,0.0234536899758573,0.0469219407335671,0.0938402193275523,,,,2.0001932886197484,2.000620886624389,1.999922549068903,,,,0.0520930880956982,0.0556938099824402,0.0705698664897069,0.0205152179447591,,,,0.000193288619748,2.0,0.0006208866243893,2.0,-7.745093109678081e-05,2.0,,,,,,,180.3400641356264,45.5438106820226,178.25386645062338,62.0653243988492,180.3180164105498,45.292873603229225,,,,,,,186.05014123665845,121.98017432281736,182.56195303062376,139.50447546776314,,,,,,,general_v10,1.0,780,3.015170670750794,1.5765860288442566,2.4374464044729454,,,,780,0.2558820729709219,0.7998154882547808,1.9520485948108834,,,,780,9.664430987421646e-05,0.0003104433121945416,-3.8725465548505866e-05,,,
