,level_0,index,pnum,pl_orbsmax_0,pl_orbsmax_1,pl_orbsmax_2,pl_orbsmax_3,pl_orbsmax_4,pl_orbsmax_5,pl_orbsmax_6,pl_mass_0,pl_mass_1,pl_mass_2,pl_mass_3,pl_mass_4,pl_mass_5,pl_mass_6,st_mass,kep_angles,arg_peri_0,arg_peri_1,arg_peri_2,arg_peri_3,arg_peri_4,arg_peri_5,arg_peri_6,mean_anom_0,mean_anom_1,mean_anom_2,mean_anom_3,mean_anom_4,mean_anom_5,mean_anom_6,Sigma,alpha,beta,h,h_outermost,K,K_outermost,taue,taua,disk_inner_edge,disk_inner_edge_width,itime,close_encounter_flag,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_ratio_01,a_ratio_12,a_ratio_23,a_ratio_34,a_ratio_45,a_ratio_56,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_ratio_01,p_ratio_12,p_ratio_23,p_ratio_34,p_ratio_45,p_ratio_56,e_0,e_1,e_2,e_3,e_4,e_5,e_6,delta_wu_01,prox_res_01,delta_wu_12,prox_res_12,delta_wu_23,prox_res_23,delta_wu_34,prox_res_34,delta_wu_45,prox_res_45,delta_wu_56,prox_res_56,phi_cen_2_01,phi_amp_2_01,phi_cen_2_12,phi_amp_2_12,phi_cen_2_23,phi_amp_2_23,phi_cen_2_34,phi_amp_2_34,phi_cen_2_45,phi_amp_2_45,phi_cen_2_56,phi_amp_2_56,phi_cen_3_012,phi_amp_3_012,phi_cen_3_123,phi_amp_3_123,phi_cen_3_234,phi_amp_3_234,phi_cen_3_345,phi_amp_3_345,phi_cen_3_456,phi_amp_3_456,parameter_method,tmp,index,p_i_01,p_i_12,p_i_23,p_i_34,p_i_45,p_i_56,index,m_01,m_12,m_23,m_34,m_45,m_56,index,delta_01,delta_12,delta_23,delta_34,delta_45,delta_56
12,12,3.0,7,0.1,0.215965976,0.379880244,0.718544459,1.392579232,1.865041911,4.434376152,1.94e-05,2.66e-05,3.25e-05,1.59e-05,1.55e-05,1.31e-05,7.72e-06,0.94,0,5.010822277,1.404428575,0.597321205,3.911391042,3.667658633,1.163216095,6.103668519,6.245962157,3.706848528,4.527750293,6.188484,1.616152748,2.896457481,4.21120055,39.8053332,1.5,0.0,0.097120729,0.097120729,19.00997221,19.00997221,2120953.342,40319264.1,0.05,0.01,10000000.0,0.0,0.049904635,0.079223369,0.125773364,0.199698728,0.317150609,0.415738831,3.337479732,1.587495215,1.587579078,1.587766455,1.58814537,1.310856254,8.027828311,0.011498763,0.022999246,0.046005436,0.092041864,0.184211698,0.276469192,6.288427379,2.00014963,2.000301925,2.00067365,2.001390359,1.500823444,22.74549386,0.147155334,0.178079899,0.04392572,0.025621928,0.017561149,0.01906892,6.05e-06,0.00014963,2.0,0.000301925,2.0,0.00067365,2.0,0.001390359,2.0,0.000823444,1.5,18.74549386,4.0,127.0526625,6.121441597,180.6731323,15.58749448,179.3193932,26.84120812,180.2349972,59.07687758,180.1824839,45.68679129,176.9727526,143.7965529,69.20864284,10.66547078,200.9296901,207.8763992,183.8822913,103.885328,187.0558698,120.256522,179.5745795,146.8749724,'general_v9',1.0,12,3.173776508619661,2.332870842041592,2.601442549053164,2.698046911109629,1.5498996377032417,3.666208367214782,12,1.3711340206185567,1.2218045112781954,0.4892307692307693,0.9748427672955975,0.8451612903225806,0.5893129770992367,12,7.481500000006136e-05,0.0001509625000000181,0.00033682499999998505,0.0006951795000000871,0.000548962666666597,4.686373465
27,27,5.0,6,0.1,0.251155359,0.341993519,0.786306823,1.358253734,2.793210769,,1.21e-05,2.32e-05,1.55e-05,3.11e-05,1.55e-05,3.58e-06,,0.74,0,1.428163684,1.911962153,2.677684504,0.960590352,3.582969525,5.890344272,,3.648909352,1.02520349,5.414749089,0.364487595,0.916084767,1.114219998,,106.6626566,1.5,0.0,0.088005976,0.088005976,23.15160032,23.15160032,505841.1823,11711032.88,0.05,0.01,10000000.0,0.0,0.049775413,0.057760348,0.091697444,0.114766735,0.182222392,0.414413807,,1.160419296,1.587550084,1.251580837,1.587763242,2.274219996,,0.01290955,0.016137144,0.032278496,0.045195203,0.090420386,0.310116765,,1.250016095,2.000260812,1.400165251,2.000663603,3.429721784,,0.073557561,0.132188737,0.125656859,0.078830138,0.003873014,2.01e-05,,1.61e-05,1.25,0.000260812,2.0,0.000165251,1.4,0.000663603,2.0,0.429721784,3.0,,,178.3853463,0.360275023,221.3863511,0.656164336,179.9688157,2.677895567,179.6299015,0.15920325,179.5819432,151.0551243,,,154.2589331,0.791183114,14.43255152,3.915349198,175.3109194,2.871094855,178.940674,150.8667259,,,'general_v9',1.0,27,3.980250603104392,1.588968908621775,3.4862351291184064,2.270324170249698,2.949087769105967,,27,1.9173553719008267,0.6681034482758621,2.0064516129032257,0.49839228295819943,0.23096774193548386,,27,1.2875999999995003e-05,0.00013040600000002733,0.00011803642857155516,0.0003318015000000063,0.1432405946666666,
59,13,1.0,7,0.1,0.2021097489281743,0.2498658217710445,0.3662358665292,0.6087788271596857,1.373828458994433,2.6413343981274924,1.6300302416399295e-05,2.947064586843896e-05,1.03735047265067e-05,1.5041085940342003e-05,2.091918233640903e-05,4.236281778813016e-06,5.178285864617119e-06,1.02,0,1.900824006455624,2.1540897261572125,4.4138957919493125,0.9582253695123022,4.563117305303803,3.706886041292444,1.3206570107520754,0.5913416735557268,1.4081945179461663,3.361572970731429,3.721385047289168,3.856479600798476,3.7479922034655497,2.77338977883414,97.48634320861868,1.5,0.0,0.0679632139700591,0.0679632139700591,38.82017858345224,38.82017858345224,208486.6707199676,8093489.789618544,0.05,0.01,10000000.0,0.0,0.0498763186497503,0.0653612984036631,0.1037749317400564,0.1360105855406153,0.1782683392764035,0.2336898698248557,0.3064063043356398,1.3104675777989845,1.5877122150402618,1.310630451223068,1.3106946173932243,1.310888263866402,1.311166580478955,0.0110292563991361,0.0165454803104555,0.0331005225170051,0.0496651818898047,0.0745246318980736,0.1118529533519121,0.1679318517260883,1.5001446843861772,2.000577921376625,1.500434983255478,1.5005408613921596,1.5008857441985095,1.5013631731218815,0.0944931568080672,0.0786027865550433,0.039363041649729,0.040623147201225,0.0247114470763052,0.0259817116382308,0.0085635147748928,0.0001446843861772,1.5,0.0005779213766252,2.0,0.0004349832554778,1.5,0.0005408613921599,1.5,0.0008857441985093,1.5,0.0013631731218812,1.5,179.10185830565462,0.2498062203969601,197.59562543484316,8.158625574426756,185.79214534156023,9.889889201789874,179.08719562076533,7.044833864547816,179.95938195600814,19.759391495505756,176.66190410622673,90.1165956201925,171.13298932074233,7.605376513012662,244.1137538064941,24.26719886666813,185.0460714752713,21.784359545748543,179.9373820001504,35.817432189976046,183.9827450149492,96.14326014641917,general_v10,1.0,59,2.8732809276142324,1.374622517056707,1.7745164717934017,2.1431212741097703,3.3901038715718625,2.665852505639933,59,1.8079815401945756,0.3519944819945739,1.4499521942577955,1.3908026600859493,0.20250704404635983,1.2223657761661093,59,9.645625745147157e-05,0.00028896068831252286,0.0002899888369853887,0.0003605742614396501,0.0005904961323397462,0.0009087820812543335
135,89,22.0,7,0.1,0.1401772230279152,0.233353956514432,0.3101627226593627,0.6942464097059705,0.9548600748975172,1.378277816009302,1.7882226610238935e-05,1.2276882824620435e-05,6.133503070045912e-06,6.8101078760721736e-06,4.652225168704422e-06,7.783915664515207e-06,3.755779844040787e-06,0.91,0,2.2083030914691766,4.954996678463202,2.841181006181765,4.066729601143209,4.634792834929533,2.229990620176383,5.09263563088815,4.104005300480468,0.6364584755826393,5.931741736952276,5.175012816798012,0.4720359117513403,5.057236922791982,2.738152903953241,50.39711662789518,1.5,0.0,0.0251962385320672,0.0251962385320672,282.44502108372353,282.4450210837236,4618.752596241556,1304543.674425949,0.05,0.01,3913631.023277848,0.0,0.0502482564043207,0.0797656007477595,0.126655405012959,0.1659938902416263,0.2175802192698805,0.2636586618151504,0.4190224260149505,1.5874308837378768,1.5878462859284284,1.3105946898367975,1.3107724840014243,1.2117768067436494,1.5892609929907149,0.0118076848655744,0.0236158665273222,0.0472513744084317,0.0708949627336022,0.1063910822546519,0.1419179467303301,0.2843343032604919,2.0000439540237345,2.000835536038146,1.500379072546658,1.5006861303192158,1.3339271068794611,2.0035119647465613,0.0185200274145631,0.0244753625435566,0.0185223683058919,0.0242666603664002,0.02139849434117,0.0092126742687886,0.00091123288925,4.395402373432944e-05,2.0,0.0008355360381459,2.0,0.0003790725466581,1.5,0.000686130319216,1.5,0.0005937735461276,1.3333333333333333,0.0035119647465612,2.0,168.1264740354333,116.3748838915007,172.9370124988978,47.50177392707335,173.88563268171663,19.663605722150876,184.19821367868929,7.446500515986032,187.17705849299804,5.113200687459237,161.80792347348915,0.5839764951546925,187.07936562734636,161.28125020852585,229.8132974017769,62.6179597808461,153.60654482979132,26.452124241710127,148.52948175600915,9.213886850399824,190.58282504026803,5.3749347999893535,general_v10,1.0,135,1.6596538426059788,2.1478702407758625,1.5323623960528983,3.3487796984223026,1.6130149446389879,1.7341893232526517,135,0.6865410606971609,0.4995977527573691,1.11031294813083,0.6831353120044347,1.6731596993365039,0.4825052076504868,135,2.1977011867235774e-05,0.00041776801907289496,0.000252715031105355,0.0004574202128104776,0.0004453301595959136,0.0017559823732806734
137,91,23.0,6,0.1,0.1453638353037734,0.216057578727511,0.3215466502807831,0.4557500208127742,0.6740573887503385,,4.15370552571166e-06,1.700058298723477e-05,3.7261415799457454e-05,1.6422351153314823e-05,1.416680195180232e-05,1.5850643211516597e-05,,0.29,0,1.5073519136365614,0.0816787466387232,6.052115842341382,4.119912955836825,1.08108223405551,5.778799914548586,,5.793542567048438,1.2711176680354763,5.540741507668393,1.1664780270726838,1.866007057599496,3.028292692344986,,14.972806714987277,1.5,0.0,0.0184199006414328,0.0184199006414328,528.4827049871556,528.4827049871554,92.57244029316128,48922.93365339182,0.05,0.01,146768.80096017546,0.0,0.0315065554279739,0.0384367276831018,0.0505128514857902,0.0807254186254383,0.1282298698425064,0.2039239232662242,,1.2201155743378809,1.3141898820668343,1.5981190300438788,1.5884701859529375,1.5903004967294343,,0.0103855167392381,0.0139930949894432,0.0210798980108452,0.042586182545732,0.0852563005167825,0.1709751518782787,,1.3477536203159688,1.5064706138279556,2.020234516012882,2.0019727421644977,2.005427682099868,,0.0378831891445901,0.0266256636090153,0.0147170419402044,0.0195316582122238,0.0182846143007999,0.0031086679676981,,0.0144202869826354,1.3333333333333333,0.0064706138279555,1.5,0.0202345160128821,2.0,0.0019727421644972,2.0,0.0054276820998682,2.0,,,179.26766899096012,132.69096511277095,169.152935111067,105.2946810797165,160.60205994633364,96.2673913695338,158.22926594167456,51.63565486676888,153.73371743594808,27.54591619315615,,,180.4554013514774,145.00121439520217,201.15978263655532,113.21232128101104,178.289622353217,147.83145345822422,208.53026507284696,63.40247728373793,,,general_v10,1.0,137,1.7525682524687531,1.8119847082117,1.8156299152528146,1.6874299382718545,1.7986804070244415,,137,4.092871505213899,2.1917728249340587,0.4407334182281378,0.8626536979720334,1.1188582479971816,,137,0.010815215236976705,0.004313742551970368,0.010117258006441032,0.0009863710822488603,0.002713841049934107,
171,20,2.0,4,0.1,0.1673020617558331,0.1998112991068101,0.2794616793553425,,,,2.7700166193936355e-05,1.2105109702631236e-05,2.3313632485708903e-05,7.276978292649042e-06,,,,1.05,0,5.9077648516715815,2.1859411334057444,0.1026422691417904,0.8051011026797538,,,,1.8514529580752728,1.86267565607449,2.0967493406836426,1.1558507138282086,,,,270.8363098649009,1.5,0.0,0.0279108791129296,0.0279108791129296,230.17508608966085,230.17508608966088,167.8537801506084,38635.7582966413,0.05,0.01,115907.27488992392,0.0,0.0502528617020952,0.079798993231553,0.0901150860013946,0.1431428901400561,,,,1.5879493117973655,1.1292839587425707,1.5884476342304723,,,,0.0109938301132694,0.0219989613311061,0.0263995779914912,0.0528510557701914,,,,2.0010281711133597,1.2000565599952473,2.0019723842655632,,,,0.0166827736386302,0.0449505239181839,0.0248461327513526,0.0033440718640562,,,,0.0010281711133595,2.0,5.655999524733613e-05,1.2,0.0019723842655629,2.0,,,,,,,116.49710907816014,27.45134127407098,178.37371744560198,107.02083085467396,169.57568359402626,6.163339836825827,,,,,,,181.36949490789388,151.63419883654817,176.36981761862373,112.9987570706335,,,,,,,general_v10,1.0,171,2.163989577211908,1.3051962209044845,1.6540805238384604,,,,171,0.43700494855807326,1.9259331851111863,0.3121340399060412,,,,171,0.0005140855566798663,4.7133329372783805e-05,0.0009861921327816159,,,
205,54,0.0,7,0.1,0.1443562099430242,0.2956875949380442,0.3879586866735455,0.6979451495661281,1.4724447706902408,2.252116148923633,2.1432539886921997e-05,2.4044657215977528e-05,2.7764726185621317e-06,3.940117243142133e-07,1.4452136979577475e-06,2.093422648665985e-07,2.39574722797036e-07,0.94,0,2.2591556957012955,0.0531651426900876,0.0052381431302204,4.1470238781562205,3.627243683147649,5.570948669300113,1.562659103892165,4.851847184173205,2.0334345161026213,3.134200310650316,1.9074317612697125,3.29948223409106,5.676855469467109,4.986834125242994,7111.090331447199,1.5,0.0,0.0387988081993466,0.0387988081993466,119.11558143250537,119.1155814325054,4949.573004579816,589571.2662831574,0.05,0.01,1768713.7988494723,0.0,0.0502090136945379,0.0608457102872439,0.0797788366019078,0.087789597441451,0.0967039715699319,0.1092028915880198,0.1157249883998163,1.2118483998012033,1.311166190611399,1.1004121089389085,1.101542503929447,1.1292492911759826,1.0597246025395288,0.0116041107064299,0.0154802767617962,0.0232415280201146,0.0268285762976652,0.0310169557438238,0.0372206432963918,0.0406044224078412,1.334034003102348,1.5013639230850089,1.1543378965540143,1.1561163895026825,1.2000095502836756,1.0909114075710449,0.0222331677350255,0.023721359280193,0.0203379099964239,0.0013289908911122,0.0039626463722133,0.0413008681227923,0.004929807188759,0.0007006697690147,1.3333333333333333,0.001363923085009,1.5,0.0004917427078608,1.1538461538461535,-0.0017783473394231,1.1578947368421053,9.55028367561006e-06,1.2,-0.0090885924289552,1.1,118.29863702815528,0.9561701805629664,154.59129138853163,0.6380295140539937,167.70309246837,3.745296077490353,186.34670707380744,148.9826442768188,166.57763665357638,62.588510421440944,180.98500395993125,147.21255983960424,172.52718592224048,1.10243771105495,194.9810589616535,3.50217287528762,175.85888732116203,148.94387722982495,181.03447429667008,147.3336934961144,178.49068299366212,146.94766776023206,general_v10,1.0,205,1.7344133327347133,2.931577390109204,1.5028966411258566,2.4129786349858424,3.0642688498792525,1.8915927862024644,205,1.1218762378531453,0.11547149928663498,0.14191089862728865,3.66794592336859,0.14485211783034102,1.1444164079800265,205,0.0005255023267611847,0.0009092820566725113,0.0004261770134792453,-0.001535845429501581,7.958569729682452e-06,-0.008262356753595657
241,90,4.0,4,0.1,0.1361614924244936,0.2213368688438298,0.3636774042327167,,,,3.957734934350918e-05,3.0464089161409177e-05,1.409360353057364e-05,4.769122899670946e-05,,,,0.99,0,0.0425035748774719,5.507815305228845,4.396928848813734,5.213805264353823,,,,0.8906266740756191,6.082721402877982,2.302480293410518,1.7115790888791558,,,,134.91622577320814,1.5,0.0,0.0284520851061608,0.0284520851061608,221.50174274860063,221.50174274860063,66.14722456496628,14651.72551912308,0.05,0.01,43955.17655736924,0.0,0.0501923932944999,0.079704155872956,0.1044545966487175,0.1266084353225329,,,,1.58797410111727,1.3105315209623627,1.2120993184732716,,,,0.0113015718461157,0.0226150150467405,0.0339284895034502,0.0452747266479049,,,,2.0010540740941583,1.5002706989285968,1.3344377999438108,,,,0.0250707212186266,0.0451961106675234,0.0631121525858613,0.0136581121799857,,,,0.001054074094158,2.0,0.0002706989285969,1.5,0.0011044666104778,1.3333333333333333,,,,,,,155.32555705779984,94.54203165885784,164.8003139712747,85.18882342146803,170.74554506960527,78.16728026622873,,,,,,,195.4710280431258,121.89154677530918,195.11153271038057,141.9536736921029,,,,,,,general_v10,1.0,241,1.5888520301944546,2.07253932170546,2.1061362639216594,,,,241,0.7697354589615888,0.4626300643981477,3.3838917699970468,,,,241,0.0005270370470791264,0.0001804659523978458,0.0008283499578582987,,,
305,154,0.0,5,0.1,0.1287861473991471,0.2784397103645778,0.4937688290830673,0.8558613431936493,,,1.4836784656168622e-05,2.3910509795204657e-05,9.811105755845826e-06,1.4014973981146516e-05,1.4973402986068418e-06,,,1.08,0,0.5396307718070597,3.222833547431965,3.441107764817721,4.814793370870784,0.1165912298834809,,,0.9034991421636224,4.8574308846451295,5.353766618289942,4.68935780873743,0.457151482574217,,,50.477586647166405,1.5,0.0,0.1205719678809983,0.1205719678809983,12.334247176345636,12.334247176345636,4869609.795706645,60062970.87259972,0.05,0.01,10000000.0,0.0,0.0500871500795874,0.0626844317909043,0.1304117018532777,0.2070071541270639,0.7164794874487851,,,1.251507352780761,2.0804481237583565,1.5873361922073412,3.4611343072785963,,,0.0107865567222212,0.0151017779051863,0.0453170310491679,0.0906278741683713,0.5835648128658361,,,1.400055727083074,3.000774911216228,1.999864759106647,6.4391331770149325,,,0.1069390674996559,0.1091752208422646,0.1906044476085845,0.0469697321569426,0.0121426407720058,,,5.572708307413965e-05,1.4,0.0007749112162276,3.0,-0.0001352408933532,2.0,2.4391331770149325,4.0,,,,,179.9452510604391,1.735075933770629,179.65959334017398,90.22308792219374,178.9497885557706,39.87887068402949,175.58185262518674,146.18181967299404,,,,,178.69217015292944,146.3569020626621,180.2041827575094,151.51100851696907,181.6338290698942,147.8769072980706,,,,,general_v10,1.0,305,1.4615103762211945,3.1790390849442915,2.3614997279640746,2.2820340918866453,,,305,1.6115695111382164,0.4103260800325336,1.4284805739450794,0.10683860709417811,,,305,3.9805059338648974e-05,0.0002583037387426934,-6.762044667651956e-05,0.6097832942537331,,
340,189,2.0,3,0.1,0.188292522637359,0.4678580501572691,,,,,4.379992578563783e-06,8.38115269242863e-05,6.096460028378909e-05,,,,,0.91,0,2.3282647165934334,5.639344941022962,2.2797149982988656,,,,,2.409147792974247,5.028082552584263,2.0747761909299767,,,,,71.31994079287541,1.5,0.0,0.0214625559267689,0.0214625559267689,389.2624090325946,389.2624090325946,35.933710718803795,13987.642799881933,0.05,0.01,41962.9283996458,0.0,0.0315731418482444,0.0502598295460967,0.0799454219308165,,,,,1.591854950098795,1.590642532300802,,,,,0.0058811635824159,0.011811307618313,0.0236942144922029,,,,,2.008331291553174,2.006061959065134,,,,,0.0358115258011263,0.0153457865940921,0.0048785557260252,,,,,0.0083312915531741,2.0,0.006061959065134,2.0,,,,,,,,,178.1975676286428,140.58475142970966,166.31785900912425,5.2314930806246105,,,,,,,,,181.7235727210441,153.5983549223137,,,,,,,,,general_v10,1.0,340,2.5836320156787203,3.916760355242789,,,,,340,19.13508423152818,0.7274011406433786,,,,,340,0.004165645776587068,0.003030979532566924,,,,
