,level_0,index,pnum,pl_orbsmax_0,pl_orbsmax_1,pl_orbsmax_2,pl_orbsmax_3,pl_orbsmax_4,pl_orbsmax_5,pl_orbsmax_6,pl_mass_0,pl_mass_1,pl_mass_2,pl_mass_3,pl_mass_4,pl_mass_5,pl_mass_6,st_mass,kep_angles,arg_peri_0,arg_peri_1,arg_peri_2,arg_peri_3,arg_peri_4,arg_peri_5,arg_peri_6,mean_anom_0,mean_anom_1,mean_anom_2,mean_anom_3,mean_anom_4,mean_anom_5,mean_anom_6,Sigma,alpha,beta,h,h_outermost,K,K_outermost,taue,taua,disk_inner_edge,disk_inner_edge_width,itime,close_encounter_flag,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_ratio_01,a_ratio_12,a_ratio_23,a_ratio_34,a_ratio_45,a_ratio_56,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_ratio_01,p_ratio_12,p_ratio_23,p_ratio_34,p_ratio_45,p_ratio_56,e_0,e_1,e_2,e_3,e_4,e_5,e_6,delta_wu_01,prox_res_01,delta_wu_12,prox_res_12,delta_wu_23,prox_res_23,delta_wu_34,prox_res_34,delta_wu_45,prox_res_45,delta_wu_56,prox_res_56,phi_cen_2_01,phi_amp_2_01,phi_cen_2_12,phi_amp_2_12,phi_cen_2_23,phi_amp_2_23,phi_cen_2_34,phi_amp_2_34,phi_cen_2_45,phi_amp_2_45,phi_cen_2_56,phi_amp_2_56,phi_cen_3_012,phi_amp_3_012,phi_cen_3_123,phi_amp_3_123,phi_cen_3_234,phi_amp_3_234,phi_cen_3_345,phi_amp_3_345,phi_cen_3_456,phi_amp_3_456,parameter_method,tmp,index,p_i_01,p_i_12,p_i_23,p_i_34,p_i_45,p_i_56,index,m_01,m_12,m_23,m_34,m_45,m_56,index,delta_01,delta_12,delta_23,delta_34,delta_45,delta_56
205,54,0.0,7,0.1,0.1443562099430242,0.2956875949380442,0.3879586866735455,0.6979451495661281,1.4724447706902408,2.252116148923633,2.1432539886921997e-05,2.4044657215977528e-05,2.7764726185621317e-06,3.940117243142133e-07,1.4452136979577475e-06,2.093422648665985e-07,2.39574722797036e-07,0.94,0,2.2591556957012955,0.0531651426900876,0.0052381431302204,4.1470238781562205,3.627243683147649,5.570948669300113,1.562659103892165,4.851847184173205,2.0334345161026213,3.134200310650316,1.9074317612697125,3.29948223409106,5.676855469467109,4.986834125242994,7111.090331447199,1.5,0.0,0.0387988081993466,0.0387988081993466,119.11558143250537,119.1155814325054,4949.573004579816,589571.2662831574,0.05,0.01,1768713.7988494723,0.0,0.0502090136945379,0.0608457102872439,0.0797788366019078,0.087789597441451,0.0967039715699319,0.1092028915880198,0.1157249883998163,1.2118483998012033,1.311166190611399,1.1004121089389085,1.101542503929447,1.1292492911759826,1.0597246025395288,0.0116041107064299,0.0154802767617962,0.0232415280201146,0.0268285762976652,0.0310169557438238,0.0372206432963918,0.0406044224078412,1.334034003102348,1.5013639230850089,1.1543378965540143,1.1561163895026825,1.2000095502836756,1.0909114075710449,0.0222331677350255,0.023721359280193,0.0203379099964239,0.0013289908911122,0.0039626463722133,0.0413008681227923,0.004929807188759,0.0007006697690147,1.3333333333333333,0.001363923085009,1.5,0.0004917427078608,1.1538461538461535,-0.0017783473394231,1.1578947368421053,9.55028367561006e-06,1.2,-0.0090885924289552,1.1,118.29863702815528,0.9561701805629664,154.59129138853163,0.6380295140539937,167.70309246837,3.745296077490353,186.34670707380744,148.9826442768188,166.57763665357638,62.588510421440944,180.98500395993125,147.21255983960424,172.52718592224048,1.10243771105495,194.9810589616535,3.50217287528762,175.85888732116203,148.94387722982495,181.03447429667008,147.3336934961144,178.49068299366212,146.94766776023206,general_v10,1.0,205,1.7344133327347133,2.931577390109204,1.5028966411258566,2.4129786349858424,3.0642688498792525,1.8915927862024644,205,1.1218762378531453,0.11547149928663498,0.14191089862728865,3.66794592336859,0.14485211783034102,1.1444164079800265,205,0.0005255023267611847,0.0009092820566725113,0.0004261770134792453,-0.001535845429501581,7.958569729682452e-06,-0.008262356753595657
305,154,0.0,5,0.1,0.1287861473991471,0.2784397103645778,0.4937688290830673,0.8558613431936493,,,1.4836784656168622e-05,2.3910509795204657e-05,9.811105755845826e-06,1.4014973981146516e-05,1.4973402986068418e-06,,,1.08,0,0.5396307718070597,3.222833547431965,3.441107764817721,4.814793370870784,0.1165912298834809,,,0.9034991421636224,4.8574308846451295,5.353766618289942,4.68935780873743,0.457151482574217,,,50.477586647166405,1.5,0.0,0.1205719678809983,0.1205719678809983,12.334247176345636,12.334247176345636,4869609.795706645,60062970.87259972,0.05,0.01,10000000.0,0.0,0.0500871500795874,0.0626844317909043,0.1304117018532777,0.2070071541270639,0.7164794874487851,,,1.251507352780761,2.0804481237583565,1.5873361922073412,3.4611343072785963,,,0.0107865567222212,0.0151017779051863,0.0453170310491679,0.0906278741683713,0.5835648128658361,,,1.400055727083074,3.000774911216228,1.999864759106647,6.4391331770149325,,,0.1069390674996559,0.1091752208422646,0.1906044476085845,0.0469697321569426,0.0121426407720058,,,5.572708307413965e-05,1.4,0.0007749112162276,3.0,-0.0001352408933532,2.0,2.4391331770149325,4.0,,,,,179.9452510604391,1.735075933770629,179.65959334017398,90.22308792219374,178.9497885557706,39.87887068402949,175.58185262518674,146.18181967299404,,,,,178.69217015292944,146.3569020626621,180.2041827575094,151.51100851696907,181.6338290698942,147.8769072980706,,,,,general_v10,1.0,305,1.4615103762211945,3.1790390849442915,2.3614997279640746,2.2820340918866453,,,305,1.6115695111382164,0.4103260800325336,1.4284805739450794,0.10683860709417811,,,305,3.9805059338648974e-05,0.0002583037387426934,-6.762044667651956e-05,0.6097832942537331,,
1004,46,15.0,6,0.1,0.1375176942742112,0.2005183417044888,0.3911066774945917,0.7679014784794836,0.985718243134732,,3.47554095198792e-05,9.546389683703318e-06,7.531640269175023e-06,1.3574808047880434e-05,1.1829863668699864e-05,3.79313735910826e-05,,1.1,0,5.372412911524847,2.334444531028632,3.5452476987344883,3.506440925099446,5.073603509030886,5.691085951630395,,5.720436053774915,5.064484963302955,3.865278531756409,4.0136108087794735,5.500150817568907,3.1626175784595296,,359.3786918450926,1.5,0.0,0.0838045251948751,0.0838045251948751,25.53115169382253,25.53115169382253,7460.185485408267,190467.1272920115,0.05,0.01,571401.3818760344,False,0.0502623557074835,0.0797870561411071,0.1266526912959447,0.2010618075757816,0.2826763297612363,0.3424297927250424,,1.5874118146234777,1.587383945144,1.587506325031047,1.405918051269864,1.2113858169218803,,0.0107440807552562,0.0214882867811617,0.0429757425644148,0.0859594011356477,0.1432949622388724,0.1910497444689662,,2.0000117237896538,1.9999613510080383,2.000187351849928,1.6670087113388592,1.3332647779493714,,0.0676302755122165,0.1163356085148567,0.2000220712964265,0.082342498595899,0.2446369735685014,0.0697937213064354,,1.1723789653728112e-05,2.0,-3.864899196155402e-05,2.0,0.000187351849927,2.0,0.0003420446721924,1.6666666666666667,-6.855538396181693e-05,1.3333333333333333,,,204.3596308656005,62.60905300369395,144.40710240943196,106.63009943766366,167.65381606852358,58.32419148465118,175.49407257775212,54.25003755940559,178.3164121618826,29.969090401038667,,,212.64695362150437,156.82034702376603,159.495091619852,144.88049809545953,176.53273921989484,154.194276998719,174.35512074267052,83.40995233147109,,,general_v10,1.0,1004,1.6126601315090705,1.7607337184833716,2.7240212857649126,2.7511593999723374,1.4543394450126614,,1004,0.27467349156806886,0.7889516894572529,1.8023707403337452,0.8714571599814979,3.206408345300176,,1004,5.861894826875158e-06,-1.9324495980854728e-05,9.367592496389854e-05,0.0002052268033154725,-5.14165379714715e-05,
1569,229,58.0,5,0.1,0.1452052519861077,0.2489855821869671,0.8623056361564481,1.194226960942167,,,1.1847035122645928e-05,1.5047320610263908e-05,6.294445092580645e-06,2.9913621803848472e-05,1.823394912427672e-05,,,1.06,0,0.6923199449679506,1.5101484081848722,5.131427366759659,4.11823325728861,1.919335070984559,,,1.293199247843741,3.076536893866381,0.5137050138454128,1.8724757490779864,1.619837478114071,,,10.765298369032315,1.5,0.0,0.0168585898587597,0.0168585898587597,630.903381997542,630.9033819975419,972.3276986514712,613444.8334890999,0.05,0.01,1840334.5004672995,False,0.0498234192899439,0.0569527842476633,0.0712980764464766,0.0904639602343854,0.1437557111650902,,,1.1430937664482166,1.2518809678491083,1.2688135158984994,1.5890937334866622,,,0.0108019765627361,0.0132014696478187,0.0184912046699978,0.0264274795899039,0.0529390662142852,,,1.2221373242223017,1.4006942255440118,1.4291919814922769,2.003182595859971,,,0.0185212082990938,0.042085413458034,0.0095462027435847,0.0092321502989447,0.0031672795979931,,,-8.48979999209032e-05,1.2222222222222223,0.0006942255440121,1.4,0.0006205529208483,1.4285714285714286,0.0031825958599713,2.0,,,,,178.70326056326175,64.24824206550595,179.49846258665067,14.590303856062686,151.01849007991584,132.8777750230005,175.08523732363162,1.5528216525244762,,,,,179.4367030362814,187.4564382193329,220.7335042138426,49.26364352694088,119.5412088272044,205.69237635281812,,,,,general_v10,1.0,1569,1.749737226067677,2.2453787335987587,6.445041222229738,1.629824578718893,,,1569,1.2701338735377383,0.4183100271211839,4.75238426324635,0.6095533748417877,,,1569,-6.946199993507207e-05,0.0004958753885799805,0.00043438704459375366,0.001591297929985469,,
1902,316,7.0,5,0.1,0.1598768264082736,0.2100437881990779,0.2904660483435765,0.4280268886973956,,,1.824906853997207e-05,8.029652614421133e-06,1.2030093495256764e-05,6.085397234537987e-06,3.5898980132993046e-06,,,0.76,0,5.24280220483075,0.3636117979633363,5.85720594830712,0.385964562671643,4.282202234194204,,,2.0172720982863765,4.45873756260829,0.9269543054275144,2.3643299555455384,4.769389825977413,,,81.78660954449607,1.5,0.0,0.1182608715414607,0.1182608715414607,12.82103823036956,12.821038230369563,342515.5110862759,4391404.462131714,0.05,0.01,10000000.0,False,0.0502566530914675,0.0797801515056251,0.0998478493751471,0.1659782027827221,0.2634860501808116,,,1.5874545272335436,1.2515375131171171,1.6623112728311502,1.587473860858534,,,0.0129236901265515,0.0258485499888281,0.0361908293301255,0.0775649137730443,0.1551401403762735,,,2.000090509166366,1.4001107149906595,2.1432202067327912,2.000133097624234,,,0.0854164282218787,0.1751154994535164,0.0422661083258352,0.0476490156969544,0.0121333356522399,,,9.050916636623274e-05,2.0,0.0001107149906594,1.4,0.1432202067327911,2.0,0.0001330976242339,2.0,,,,,117.47828472335844,1.4587616751611563,179.69963259479593,1.1747490449266818,180.69973468133531,147.01429846066665,179.62794902423076,62.18794596932183,,,,,334.02739659359816,2.525475310111286,179.50949223309348,146.7128268882054,178.81725493127934,147.41398508409875,,,,,general_v10,1.0,1902,2.021534688870844,1.505862582858215,1.626222627524916,1.7888100528222233,,,1902,0.44000342246692126,1.4982084621756737,0.5058478753251039,0.5899200783351747,,,1902,4.525458318305198e-05,7.908213618534887e-05,0.07161010336639562,6.654881211698438e-05,,
1906,320,6.0,7,0.1,0.1394824424879566,0.2074049088251506,0.2806099888999803,0.3606728841267075,0.4558408741281035,0.7444727133763531,9.162647102316968e-06,4.22993587146388e-05,2.2821326443933768e-05,1.6521332449592645e-05,2.091484808604674e-05,2.5449314965561085e-05,1.4367830761919957e-05,1.0,0,5.753510182814793,0.2362580523575821,0.0850265734781207,5.976048987936323,2.0760317615653947,1.4524421038646067,0.1614331144159281,2.328902339954072,3.762621337469698,3.8070064729724233,0.4172083214358272,1.9740506619523863,1.1501637800841094,3.3520348109748097,137.75007820752512,1.5,0.0,0.0729057601163349,0.0729057601163349,33.73507353618816,33.73507353618816,19266.45946943101,649955.426983244,0.05,0.01,1949866.280949732,False,0.043288528758842,0.0502321177206867,0.0900532969644297,0.142966340623253,0.1789380482331458,0.2345180987663111,0.3724639379791833,1.1604025707001666,1.7927433931437866,1.5875747537522955,1.2516097123366443,1.3106106260193926,1.588209782597873,0.0090066950254503,0.0112582077837589,0.0270234939009316,0.0540554133336123,0.0756899108170989,0.1135645974414495,0.2273011562877782,1.2499822552404225,2.4003371191057865,2.0003117895140003,1.4002283543384175,1.5003929273675365,2.0015142248494184,0.1699358210055331,0.0495067953296379,0.0614301230731119,0.0488927393914099,0.0706640365376193,0.0466975281814312,0.0037088169831601,-1.774475957777355e-05,1.25,-0.0996628808942134,2.5,0.0003117895140002,2.0,0.0002283543384177,1.4,0.0003929273675365,1.5,0.0015142248494181,2.0,180.52150281355523,0.3734824171157465,175.6117559225061,147.04829420906268,199.87906552434345,0.3739624222998257,178.99598680721294,1.5721663101771337,179.42515489384894,0.2495550185235249,181.72946783115648,0.0926361037459019,178.75088994098493,146.91693403731972,176.6797314843545,146.7940259290641,341.58625178561226,2.1309185853645425,179.4319772038885,1.9071601911146936,175.80962274736405,0.2360443882766944,general_v10,1.0,1906,1.6472978069114468,1.8132323567008044,1.5737201710882862,1.4571846748838766,1.420851445304801,2.087159725798435,1906,4.6164998217537505,0.5395194427861586,0.7239426897547513,1.2659298606730973,1.2168061111827773,0.5645665033170053,1906,-1.419580766204298e-05,-0.039865152357685396,0.00015589475700017452,0.00016311024172677158,0.0002619515783577331,0.0007571124247092165
1927,341,7.0,6,0.1,0.1658063453521722,0.251866040956133,0.4634845274317616,0.801942301727038,1.251202733778534,,6.300969885517502e-06,1.32964163976722e-05,5.079452086623483e-06,3.4742698582720243e-06,1.2536525594939528e-05,1.1163035033926425e-05,,1.02,0,3.013166318374556,5.434117376618775,5.833801819668526,3.482449160114172,3.913854164546882,2.218483748023861,,3.941021517567824,0.6147694771200556,5.717091768181088,4.176693464299401,1.3969217480885543,4.791888425585891,,13.932449675424978,1.5,0.0,0.1196754472834911,0.1196754472834911,12.519737613353254,12.519737613353255,3081961.621088192,38585350.83044901,0.05,0.01,10000000.0,False,0.049913076357877,0.0654054448119002,0.1360583306328818,0.2992438272956985,0.4750260985150868,0.9294114301590142,,1.3103869688065712,2.080229421744816,2.199378939242587,1.5874219718413565,1.956549041581928,,0.0110415052226583,0.0165624583714149,0.0496924683927652,0.1620839842586251,0.3241722338441332,0.8871746691491835,,1.5000181632040808,3.000307519830306,3.2617414473783684,2.000027526908517,2.736741444639817,,0.153912295635679,0.0996822275698286,0.0193737653801651,0.1535262903829202,0.0014474693408128,0.0012993037173281,,1.8163204080559047e-05,1.5,0.0003075198303051,3.0,0.261741447378369,3.0,2.752690851752337e-05,2.0,0.2367414446398167,2.5,,,179.9745125972338,0.0920217460357468,179.94711089747835,6.107620393573789,177.03147199110657,144.51561355115848,180.5372085048187,39.53249612825691,185.512576092544,147.2629601327984,,,180.01317124523706,16.319264613735623,178.70061268944164,142.22615221806524,184.9511862026346,146.5571055653352,176.38706992984288,146.27417262957002,,,general_v10,1.0,1927,2.135011560773175,1.8722095338084677,2.4963115102161275,2.275935206147392,1.9488442643127637,,1927,2.110217417200076,0.3820166227279661,0.6839851619865386,3.608391433696731,0.8904408920468743,,1927,1.2108802720511846e-05,0.00010250661010213769,0.08724714912612286,1.3763454258519658e-05,0.09469657785592678,
2788,851,0.0,7,0.1,0.16403151,0.230352318,0.352010579,0.433042609,0.706907572,0.967628702,4.58e-05,5.23e-06,2.12e-05,1.01e-05,4.53e-06,3.91e-07,1.09e-06,0.89,0,4.579664416,5.16052907,4.238379001,0.398419444,4.565881409,5.386392351,4.332110318,0.185840328,2.860739763,2.049362741,5.782588399,4.833838208,3.19533901,4.027038375,360.6578812,1.5,0.0,0.082270391,0.082270391,26.49221195,26.49221195,171457.6959,4542293.62,0.05,0.01,10000000.0,False,0.050286106,0.079824737,0.099904043,0.166067143,0.263653746,0.345534277,0.41864886,1.587411395,1.251542568,1.662266513,1.587633418,1.310560848,1.211598638,0.011952921,0.023906006,0.033471116,0.071732951,0.143497039,0.215292365,0.287122037,2.000013752,1.400113694,2.143130007,2.000434067,1.500326184,1.333637807,0.043576353,0.341895171,0.004730179,0.024876032,0.008834172,0.01741805,0.002890451,1.38e-05,2.0,0.000113694,1.4,0.143130007,2.0,0.000434067,2.0,0.000326184,1.5,0.000304474,1.333333333,276.5011568,0.501664622,179.1777141,1.750035228,180.0041261,146.5158454,176.5898446,0.145590779,173.966716,0.100617103,143.892471,0.138433528,46.25724905,2.745953816,180.439097,146.9197016,179.9035409,146.9612486,221.736832,0.016403915,234.7623484,0.025797941,general_v10,1.0,2788,2.1008779478604005,1.6641560937986741,1.889067173265862,1.3644691835427358,2.085686424206909,1.601470680472153,2788,0.11419213973799126,4.053537284894838,0.47641509433962265,0.4485148514851485,0.08631346578366446,2.78772378516624,2788,6.876000000044513e-06,8.121000000005374e-05,0.07156500349999995,0.00021703350000001898,0.00021745599999989373,0.00022835524999997858
3117,1180,6.0,7,0.1,0.166497148,0.223150011,0.288994005,0.507675699,0.908896288,1.143248334,1e-05,1.33e-05,2.63e-05,5.56e-06,5.2e-06,2.28e-06,2.96e-06,1.05,0,2.490028517,1.093902284,2.953383788,5.030939648,0.10348839,3.367184223,1.796677804,3.170996675,5.707378936,1.15078793,2.521748271,1.240369625,2.438531502,4.315334526,49.95870962,1.5,0.0,0.070619184,0.070619184,35.95505436,35.95505436,374897.3392,13479454.21,0.05,0.01,10000000.0,False,0.049927136,0.070186122,0.0878405,0.1394546,0.182758424,0.290218916,0.351593357,1.405771044,1.251536722,1.587588902,1.310522737,1.587992011,1.211476439,0.010887207,0.018146197,0.025406539,0.05082196,0.07624602,0.152577039,0.203451543,1.666744985,1.400102983,2.000349744,1.500257357,2.001114819,1.333435042,0.063720472,0.132675128,0.069395485,0.02294249,0.016673132,0.011711554,0.009945222,7.83e-05,1.666666667,0.000102983,1.4,0.000349744,2.0,0.000257357,1.5,0.001114819,2.0,0.000101709,1.333333333,179.3453557,1.033947209,179.8738272,1.682257601,183.7769107,9.448650378,183.2267547,30.73847155,178.8809688,126.3434469,179.1712582,85.64667815,232.5794792,240.4034566,175.1684951,12.9731378,194.7836438,44.22840165,180.1688667,127.7554489,179.543466,145.1894918,general_v10,1.0,3117,2.148372158580458,1.5516096872804985,1.473812279848002,2.3283399349787732,2.3954799229862895,1.4107148257405586,3117,1.3299999999999998,1.9774436090225564,0.2114068441064639,0.935251798561151,0.43846153846153846,1.2982456140350875,3117,4.699100000005174e-05,7.35592857143974e-05,0.0001748720000001036,0.00017157133333323138,0.0005574095000000501,7.628150000016376e-05
3338,1401,4.0,7,0.1,0.209576739,0.562459434,0.862519901,1.461275811,2.069276343,2.892868388,2.74e-05,2.61e-05,2.83e-06,2.52e-05,1.92e-06,5.21e-07,3.15e-07,0.94,0,4.209031146,2.232518208,0.234265343,1.820259621,2.694705293,0.438607641,2.719957457,3.706863114,3.278306671,6.069844147,4.364121522,0.042370379,5.327431635,1.989584036,440.1278617,1.5,0.0,0.041873615,0.041873615,102.2643904,102.2643904,105838.4147,10823500.96,0.05,0.01,10000000.0,False,0.050161493,0.079644476,0.106948939,0.126484204,0.200948316,0.318981708,0.417984321,1.587761273,1.342829337,1.182659822,1.588722625,1.587381843,1.310370814,0.011587604,0.023182775,0.036074141,0.046395931,0.092907671,0.185811918,0.278717867,2.000653028,1.556075232,1.286127328,2.002496098,1.999963146,1.49999995,0.050769236,0.032289727,0.009969017,0.007422648,0.004397574,0.049829348,0.040577705,0.000653028,2.0,-0.043924768,1.6,0.000413042,1.285714286,0.002496098,2.0,-3.69e-05,2.0,-5.03e-08,1.5,179.5041727,0.080799172,182.2486238,147.9022066,176.9443242,2.693024314,173.3457654,8.773371268,122.6127769,14.94034153,177.8756795,77.77582745,180.9026037,146.9710164,178.3855421,147.9966032,184.5945612,7.734681507,178.9468758,151.311851,137.5338602,87.8131888,general_v10,1.0,3338,3.0339954001973637,4.396707416360652,1.898942046419676,2.205210157361074,1.6851158721799089,1.6529713342235266,3338,0.9525547445255476,0.10842911877394636,8.904593639575971,0.07619047619047618,0.2713541666666667,0.6046065259117083,3338,0.00032651399999994446,-0.02745298000000007,0.0003212551111111406,0.0012480489999999733,-1.8426999999987537e-05,-3.333333331578814e-08
