,level_0,index,pnum,pl_orbsmax_0,pl_orbsmax_1,pl_orbsmax_2,pl_orbsmax_3,pl_orbsmax_4,pl_orbsmax_5,pl_orbsmax_6,pl_mass_0,pl_mass_1,pl_mass_2,pl_mass_3,pl_mass_4,pl_mass_5,pl_mass_6,st_mass,kep_angles,arg_peri_0,arg_peri_1,arg_peri_2,arg_peri_3,arg_peri_4,arg_peri_5,arg_peri_6,mean_anom_0,mean_anom_1,mean_anom_2,mean_anom_3,mean_anom_4,mean_anom_5,mean_anom_6,Sigma,alpha,beta,h,h_outermost,K,K_outermost,taue,taua,disk_inner_edge,disk_inner_edge_width,itime,close_encounter_flag,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_ratio_01,a_ratio_12,a_ratio_23,a_ratio_34,a_ratio_45,a_ratio_56,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_ratio_01,p_ratio_12,p_ratio_23,p_ratio_34,p_ratio_45,p_ratio_56,e_0,e_1,e_2,e_3,e_4,e_5,e_6,delta_wu_01,prox_res_01,delta_wu_12,prox_res_12,delta_wu_23,prox_res_23,delta_wu_34,prox_res_34,delta_wu_45,prox_res_45,delta_wu_56,prox_res_56,phi_cen_2_01,phi_amp_2_01,phi_cen_2_12,phi_amp_2_12,phi_cen_2_23,phi_amp_2_23,phi_cen_2_34,phi_amp_2_34,phi_cen_2_45,phi_amp_2_45,phi_cen_2_56,phi_amp_2_56,phi_cen_3_012,phi_amp_3_012,phi_cen_3_123,phi_amp_3_123,phi_cen_3_234,phi_amp_3_234,phi_cen_3_345,phi_amp_3_345,phi_cen_3_456,phi_amp_3_456,parameter_method,tmp,index,p_i_01,p_i_12,p_i_23,p_i_34,p_i_45,p_i_56,index,m_01,m_12,m_23,m_34,m_45,m_56,index,delta_01,delta_12,delta_23,delta_34,delta_45,delta_56
27,27,5.0,6,0.1,0.251155359,0.341993519,0.786306823,1.358253734,2.793210769,,1.21e-05,2.32e-05,1.55e-05,3.11e-05,1.55e-05,3.58e-06,,0.74,0,1.428163684,1.911962153,2.677684504,0.960590352,3.582969525,5.890344272,,3.648909352,1.02520349,5.414749089,0.364487595,0.916084767,1.114219998,,106.6626566,1.5,0.0,0.088005976,0.088005976,23.15160032,23.15160032,505841.1823,11711032.88,0.05,0.01,10000000.0,0.0,0.049775413,0.057760348,0.091697444,0.114766735,0.182222392,0.414413807,,1.160419296,1.587550084,1.251580837,1.587763242,2.274219996,,0.01290955,0.016137144,0.032278496,0.045195203,0.090420386,0.310116765,,1.250016095,2.000260812,1.400165251,2.000663603,3.429721784,,0.073557561,0.132188737,0.125656859,0.078830138,0.003873014,2.01e-05,,1.61e-05,1.25,0.000260812,2.0,0.000165251,1.4,0.000663603,2.0,0.429721784,3.0,,,178.3853463,0.360275023,221.3863511,0.656164336,179.9688157,2.677895567,179.6299015,0.15920325,179.5819432,151.0551243,,,154.2589331,0.791183114,14.43255152,3.915349198,175.3109194,2.871094855,178.940674,150.8667259,,,'general_v9',1.0,27,3.980250603104392,1.588968908621775,3.4862351291184064,2.270324170249698,2.949087769105967,,27,1.9173553719008267,0.6681034482758621,2.0064516129032257,0.49839228295819943,0.23096774193548386,,27,1.2875999999995003e-05,0.00013040600000002733,0.00011803642857155516,0.0003318015000000063,0.1432405946666666,
433,282,6.0,5,0.1,0.1873293832767161,0.2804106358978296,0.6998365773257494,1.2934879741156318,,,3.577100526579594e-05,1.8592589609413818e-05,2.6232270877709307e-06,1.7019033347556118e-06,9.634293622823853e-07,,,0.94,0,2.33627479754906,2.0939962580617117,2.4720888156174103,3.293539353309545,6.002033536579659,,,5.426872630500615,5.943241747388822,3.660968967776941,3.92474693253364,5.961637608992777,,,18.805222700907223,1.5,0.0,0.1122955221145839,0.1122955221145839,14.21937370695303,14.219373706953036,18758339.38540457,266731837.8429233,0.05,0.01,10000000.0,0.0,0.0502811349171613,0.0798283406643093,0.1660953159554078,0.6143897065318789,1.2451166627380472,,,1.5876399932091971,2.0806560002657277,3.699018865135483,2.0265910802344287,,,0.0116290334552271,0.0232630883706155,0.0698179654952993,0.4967028150116709,1.4329979329735876,,,2.000431805665936,3.001233732164984,7.1142550857132685,2.88502094951515,,,0.0601176915190352,0.0146976834734448,0.003171522024476,3.81352617056184e-06,1.9916799488520457e-06,,,0.0004318056659357,2.0,0.0012337321649841,3.0,3.1142550857132694,4.0,-0.1149790504848499,3.0,,,,,179.96239153430582,7.356666071673968,177.76369577345068,75.02963943592064,181.20535719086516,149.1696328820408,183.4216963026132,145.08435611075362,,,,,180.15691903724397,144.7224409770166,179.6211003166901,148.85809560766106,176.65122079403645,147.2323863740329,,,,,general_v10,1.0,433,2.5639693144573803,1.8314141165247027,3.9427881759028867,2.5127472567600986,,,433,0.5197670423646708,0.14108992576497983,0.6487823119430322,0.5660893557275571,,,433,0.00021590283296801793,0.00041124405499459726,0.7785637714283171,-0.038326350161616674,,
555,404,2.0,6,0.1,0.3292029788436103,0.4288176500240359,0.541431379583488,1.0092136114051882,1.7274991411794285,,9.006410039391474e-06,1.0498928578903486e-05,1.2097587079787904e-05,7.400146922668894e-06,1.1309716390475677e-05,6.845477761697527e-06,,0.94,0,2.766688093075204,6.13599625505336,3.554902920577361,0.396641209038734,5.874290426255631,2.170840158577115,,2.391182369691755,3.943550453593847,1.7424371919324904,2.945534975673295,4.262139822589599,2.80888337383231,,16.185319120269114,1.5,0.0,0.0985977721857516,0.0985977721857516,18.444680696570646,18.44468069657065,2434679.5960688824,44906887.74794614,0.05,0.01,10000000.0,0.0,0.0501021341614874,0.1042187785085545,0.165441590480635,0.2626370383257767,0.4169555683780552,1.343819675171787,,2.0801265306077914,1.5874451118184931,1.5874910148566206,1.5875733715918452,3.222932556852322,,0.0115671544190427,0.0347023381865364,0.0694071193533035,0.1388254929483459,0.2776945270111839,1.6067288534623456,,3.000075639175876,2.0000703987559016,2.0001621490178287,2.0003136398511385,5.785957948889393,,0.1325774162274618,0.2029438314277115,0.0933987585813589,0.0690194390086308,0.0026166380012096,0.0001233632750062,,7.563917587556368e-05,3.0,7.039875590199252e-05,2.0,0.0001621490178282,2.0,0.0003136398511385,2.0,1.785957948889393,4.0,,,144.9829989330842,3.613647172600448,155.31678356796067,5.515496690952451,198.90707499848511,17.46697983932249,182.7284930114289,79.66275113705596,178.15936180628802,147.126942258538,,,123.79803304817128,13.604828907295277,50.17181197271813,15.939470993169,243.2510113646974,102.47265373069028,185.22446422523987,143.79661373031337,,,general_v10,1.0,555,5.973038165374595,1.486664513335046,1.4187544608492284,2.5448290405225937,2.2395107040584943,,555,1.1657173649638604,1.1522687280773352,0.6117043732657004,1.528309709072206,0.6052740427215622,,555,2.5213058625350726e-05,3.519937795082306e-05,8.10745089143694e-05,0.0001568199255692626,0.44648948722234816,
621,24,5.0,4,0.1,0.1522806951566029,0.2210764711985465,0.2988938847248378,,,,6.707544082031794e-05,1.2609473023647017e-05,2.6575668311221805e-05,1.17449501664589e-06,,,,0.98,0,5.551643553708272,3.922611199190576,1.936438759852852,4.458956800819748,,,,3.41002478665961,1.954830229960714,3.640056030244661,0.1103546369339873,,,,442.3368956609544,1.5,0.0,0.1061289979820127,0.1061289979820127,15.919785726714345,15.919785726714345,128373.94038683892,2043685.6238524765,0.05,0.01,6131056.871557429,False,0.0502948927869606,0.1046244454953626,0.1470819153444466,0.2637008107856674,,,,2.080220072133277,1.4058083292646173,1.7928839914944814,,,,0.0113937354786152,0.0341843450598451,0.0569784375754764,0.1367850262316659,,,,3.000275469648781,1.6667991986050803,2.400645451830714,,,,0.0439676494356161,0.1472211647480854,0.0525469794697122,0.0016370142628856,,,,0.0002754696487802,3.0,0.0001325319384137,1.6666666666666667,-0.0993545481692859,2.5,,,,,,,217.11909987267416,0.1250847687570612,178.5277257432051,0.235376430594346,180.25138201104664,147.08272455732936,,,,,,,65.85685480001054,0.3731777539816664,180.31095926453776,147.17003802465211,,,,,,,general_v10,1.0,621,1.8792274346875613,1.7492158950846037,1.5720537358532498,,,,621,0.18798941713145564,2.107595476938922,0.04419437369896543,,,,621,9.182321626033385e-05,7.95191630480474e-05,-0.03974181926771436,,,
828,17,3.0,7,0.1,0.1549418732811113,0.2177056765212345,0.3943977129089595,0.5902411947939534,1.149832089025518,2.234475188708821,3.8821968304134655e-05,2.1817895536552705e-05,1.618922139064758e-05,2.4944114971621982e-06,2.6134611711854133e-06,2.3311069303508265e-07,3.3863028580954775e-07,1.26,0,5.012272354996183,5.544786793718023,0.021836802903916,3.9379299637451353,3.318790044434129,4.663480516731742,1.901048327072293,6.220159966459411,1.1311916532741244,4.6937060775740775,1.711695535743994,6.1692757840408206,2.5334612392493523,0.6473329933279585,399.256880794582,1.5,0.0,0.0844550062029901,0.0844550062029901,25.13937923177608,25.13937923177608,2155974.1917788684,54199852.8210509,0.05,0.01,10000000.0,False,0.0502669060151819,0.0798040119250401,0.1267108396596234,0.1781251601339973,0.2827715276929368,0.8667545469421034,1.8232595732485744,1.587605410303845,1.5877753093641362,1.4057610277150154,1.5874878531070475,3.0652115297444213,2.1035478909953254,0.0100401331274306,0.0200839701243007,0.0401818883600306,0.0669726003221927,0.1339560480140108,0.7188743672491963,2.193216385697475,2.000368907754944,2.0006944919956258,1.6667360120855017,2.000161972886381,5.366494293875077,3.050904061395737,0.0584010697513311,0.0399828343516402,0.0131727645151936,0.1090685593927911,0.000258183118357,1.5364661650697347e-06,1.854734769885131e-07,0.0003689077549442,2.0,0.000694491995626,2.0,6.93454188348408e-05,1.6666666666666667,0.0001619728863815,2.0,1.3664942938750777,4.0,0.0509040613957371,3.0,197.61295252877684,0.8736647858671452,177.5811922016507,5.837394273953785,179.68486882421132,0.1263154911588031,177.6318360103796,1.358221827501893,181.16186303595225,146.7960531343215,173.19575257324445,146.28518097054717,254.91880010484172,1.859970184913468,182.6435112905293,148.92920256477123,184.73133141281625,6.1241340308153625,181.56392048724732,150.1611704909104,180.7549214655811,147.16934987702152,general_v10,1.0,828,1.928662045318175,1.6655297560557187,2.438368348040131,1.8308074594412866,2.718991009687023,2.709016498298748,828,0.5619986953167708,0.7420157165719717,0.15407853391906826,1.0477265576103436,0.08919615703697191,1.4526587407922322,828,0.0001844538774720128,0.0003472459978128839,4.160725130097909e-05,8.098644319054493e-05,0.34162357346876915,0.016968020465245592
881,70,15.0,7,0.1,0.1484363541335854,0.3065149443735597,0.5956602934726346,0.9848404779667234,1.877441535713304,2.918924383395165,8.239042605453898e-07,8.086816111648614e-07,1.7086169734880196e-06,1.0770478106398631e-06,2.189701640577177e-07,3.9548405750813813e-07,9.35300527787142e-07,0.94,0,0.1829863337619324,0.2974753740514267,6.098568749516884,2.809737104706492,5.265283327215244,1.9694127402424804,5.018833165352896,6.2275596389316,1.4661684178137089,1.845110397884374,4.807953592416892,5.888585230761387,1.542065099257564,1.806381136843213,18.924122937262062,1.5,0.0,0.0153639000285634,0.0153639000285634,759.6305117905016,759.6305117905016,15182.468634246714,11533066.418876069,0.05,0.01,10000000.0,False,0.0500452244025945,0.06263051511512,0.09942255498171,0.1578326128667213,0.3931202847944448,0.5417505669663027,0.6736289681377795,1.2514783551656286,1.5874459088106585,1.5874930280764168,2.490741790794945,1.378076361690254,1.243420996242808,0.0115475020119859,0.016166755631758,0.0323348524058546,0.0646752884126067,0.2542331365151983,0.4112855936312456,0.570267757301233,1.400021893685601,2.000082957004834,2.0001726805829394,3.930916162705529,1.6177444096070897,1.3865264423489558,0.0156071360485535,0.0442738205242036,0.0109995790537394,0.0036546051033517,7.042590134078774e-06,2.2778331476872373e-05,9.702191056014838e-06,2.1893685601304114e-05,1.4,8.295700483416546e-05,2.0,0.0001726805829392,2.0,-0.0690838372944719,4.0,0.0177444096070896,1.6,0.0115264423489559,1.375,174.64749908118378,0.0580094220789514,165.8466005717534,0.0068872950420762,168.99099669826236,0.0144945242605375,183.8679265859767,151.7662794353441,184.13327235215604,145.9011126373482,183.99702508317804,152.87504876628182,202.03905669432655,0.0565018711476953,149.71150480047675,0.004353803416205,187.21853406208533,150.93998565548634,174.08816847540626,149.56626725630778,177.67896664620807,142.62054198629775,general_v10,1.0,881,1.8084663056477635,2.9673368819049446,2.7090725888595384,2.1259402621047703,2.632090129370924,1.9385834881067134,881,0.9815237642169108,2.1128426192687266,0.6303623499895046,0.2033058903184899,1.8061093355343776,2.3649512794024465,881,1.5638346857915764e-05,4.147850241698059e-05,8.634029146969979e-05,-0.017270959323617774,0.011090256004431032,0.00838286716287695
898,87,23.0,7,0.1,0.1717555632142155,0.3230933548988856,0.5263095819119478,1.1235178172171398,3.832544530579824,7.054125645898719,3.3545476578032814e-05,1.3758880723145503e-05,6.12558430561938e-05,2.4650032606002807e-05,1.7223969240804435e-05,3.709194035054612e-05,1.5163129281158272e-05,0.89,0,5.777606650171466,2.7946188967510244,1.669528136947592,1.9626642713187976,3.3079174109875127,3.105984064802158,5.424123107753931,3.986781556974242,1.8973649883706896,0.2461169614459151,4.68060605285603,4.387350557212493,6.08553553505937,1.383560822223701,38.00523471877559,1.5,0.0,0.0433410942808105,0.0433410942808105,95.45652082411192,95.45652082411192,65748.25796751687,6276099.955825356,0.05,0.01,10000000.0,False,0.050084554732679,0.079512448083198,0.1042027690523721,0.1654592998926426,0.2326789695833745,0.2819617648628643,0.4844382644707256,1.5875642414787263,1.310521463504277,1.587858956114521,1.406261068766067,1.2118060248976483,1.7180991410089512,0.0118812118705015,0.0237659044367951,0.0356537819140455,0.0713374324844896,0.1189630804780188,0.1586911769975627,0.3573727319138017,2.0002929614176725,1.5002072656903385,2.000837747019743,1.6676109442816744,1.333953290318338,2.252001284679569,0.0536086446963395,0.1967919360019141,0.0617702358085707,0.0199416175419843,0.050636063108001,0.0196473418046588,0.0403659970026748,0.0002929614176726,2.0,0.0002072656903381,1.5,0.000837747019743,2.0,0.0009442776150075,1.6666666666666667,0.0006199569850047,1.3333333333333333,-0.2479987153204309,2.5,92.1079338816411,0.5292585539406922,169.92443307279376,0.1769895333708221,180.7267102364427,1.4783642122819305,175.21068681237938,1.3606891436838922,178.9759400893912,0.8181037653556177,173.35735178163827,146.34113192665677,86.25985354709736,0.3826513825362725,173.33328365484996,1.4515678538860657,166.9451117509803,205.7513468532306,189.11853414468231,9.60501382601451,180.6529318494516,147.05347216550555,general_v10,1.0,898,2.2509769448211294,2.579967477990628,2.0791164145278813,3.1189602701780488,6.300224439742127,2.4971194769377933,898,0.4101560665307548,4.452094926090013,0.4024111231868901,0.6987402214068484,2.1535071174345504,0.40879849201350876,898,0.00014648070883627184,0.00013817712689223605,0.0004188735098715757,0.0005665665690046673,0.00046496773875359665,-0.09919948612817231
1203,61,22.0,5,0.1,0.1163057310352627,0.1689009954827995,0.2505111053171743,0.399849953995312,,,5.016691719985729e-06,3.577100526579594e-05,7.988164218070988e-06,3.151713306976151e-05,1.74901110852811e-05,,,0.65,0,0.0035240955185056,0.568922685184141,0.1581851277695715,2.0010830740942755,0.5723261450652203,,,3.602537563843434,3.354775251594272,5.652489110913836,0.12542648014132,6.076574309775384,,,33.57311609758327,1.5,0.0,0.0608334155695614,0.0608334155695614,48.45303029654794,48.45303029654794,8860.138023345913,429300.5360767759,0.05,0.01,1287901.6082303275,False,0.0432830975956692,0.050227909740599,0.0797426389232622,0.0998103987020661,0.165969315626724,,,1.1604509659072295,1.587616124798896,1.2516569332003928,1.6628459672695284,,,0.0111693360141584,0.0139622547044227,0.027930015132467,0.039110051757417,0.0838611019278791,,,1.2500524971009617,2.000394357109484,1.400288414275187,2.144234077026725,,,0.128207291915715,0.0558947330945535,0.1454565302029498,0.0197877233002839,0.0032209466373843,,,5.2497100961796936e-05,1.25,0.000394357109484,2.0,0.0002884142751868,1.4,0.144234077026725,2.0,,,,,180.34075923021493,0.4986893590352145,117.30048190262931,0.6993830191563652,179.5061765970575,2.5228104657861103,180.0253395234588,146.23009057445935,,,,,214.2087158475424,0.8395301027460911,350.2852297436822,3.849171899196202,180.43034834825383,146.85898236277862,,,,,general_v10,1.0,1203,1.2542710524232223,1.7500720224132895,1.8062767870869565,2.016553677211637,,,1203,7.1303973340218905,0.2233139426391584,3.9454788621474273,0.554939786133709,,,1203,4.199768076929011e-05,0.00019717855474210566,0.00020601019656218966,0.07211703851336249,,
1536,196,44.0,6,0.1,0.2515456765166907,0.3080008033499013,0.5337942338877741,0.9686560894752057,1.2335689290110972,,9.13231968007051e-06,7.994787927210055e-06,1.0718748263026142e-05,2.757989229462576e-05,1.6388357351280318e-05,1.009152311873637e-05,,1.02,0,4.332476121145066,0.2006658253326033,2.1888904650980376,4.118203801456287,0.211803883300727,2.4135913989168816,,3.134613159771716,5.857218204819739,0.3350357036532107,5.369336915027992,6.257375167077179,3.801280168101298,,45.968628188324935,1.5,0.0,0.0275657105312436,0.0275657105312436,235.97552617496356,235.9755261749636,2867.549999553932,676671.6199777556,0.05,0.01,2030014.8599332669,False,0.0498378908452274,0.0589330307603408,0.0713988227700348,0.0935768359401852,0.1486260253500546,0.2360297567487804,,1.1824945203846298,1.2115247555247732,1.3106215569791189,1.5882779584265916,1.5880782799523467,,0.0110165511791684,0.0141658500586004,0.0188902961077858,0.0283431980958806,0.0567329187461994,0.1135378936579668,,1.2858698651378635,1.3335096562827775,1.5004104835492524,2.0016414189968086,2.0012702078784046,,0.0210937209456666,0.0742364114154831,0.0600440064862652,0.032103849554943,0.0115142461090243,0.0077886274729105,,0.0001555794235778,1.2857142857142858,0.0001763229494442,1.3333333333333333,0.0004104835492525,1.5,0.0016414189968084,2.0,0.0012702078784048,2.0,,,176.66327225174376,2.286219612516202,158.51881690935772,1.323447099250492,164.53686753768488,1.089486131935478,177.86140932574932,13.724320539214208,185.01887413540305,98.00695496586846,,,294.12530619991,3.592527010108166,219.5192453399933,5.514617877900245,172.75755967856978,13.057750583806056,191.87874731845972,129.16785427362453,,,general_v10,1.0,1536,3.989564841821448,1.3548833573422547,2.2815471795913567,2.444533452342725,1.4371167585567712,,1536,0.8754389035085035,1.3407170222170819,2.5730515931381097,0.594213972129027,0.6157739242821663,,1536,0.00012100621833810443,0.0001322422120833,0.00027365569950155155,0.0008207094984042929,0.0006351039392022972,
1758,172,0.0,7,0.1,0.1957075913398419,0.3463050907072004,0.4501101682908039,0.6499759047926386,1.453906642171013,2.9118838890364462,9.681854227187693e-06,1.9355220259357587e-05,1.3804572442221006e-05,1.0035221555112963e-05,1.430544575605854e-05,3.7497414187389873e-07,5.036726413907236e-07,0.89,0,1.0196517863057697,4.251605782881066,1.1393115653906716,1.230416451608603,2.7907177149362243,3.5534269240093157,3.718746573875917,4.395637581754674,0.8618553969456637,1.9087699920676469,6.070256573726854,3.616244875917679,5.147095988256381,5.827400744688347,66.82222037926071,1.5,0.0,0.0504302541254138,0.0504302541254138,70.5055057892654,70.5055057892654,851810.999442656,60057365.352564126,0.05,0.01,10000000.0,False,0.0497669708222938,0.0652186540671652,0.1035537400231826,0.1455786615981136,0.1907695628477307,1.093868933278186,2.428276781381142,1.3104806877867414,1.5877933475980115,1.4058271554606532,1.3104225805631904,5.733985326614658,2.219897580935826,0.011768541782087,0.017654843341346,0.0353225002413727,0.0588771683603765,0.0883203087939081,1.2126757298266315,4.010918967946421,1.5001725549422276,2.000726000768733,1.6668459564883793,1.5000774310220697,13.730455579890425,3.307495711746124,0.0674102677541009,0.0636227952843031,0.0232084021233519,0.0814710894081731,0.0371074476235791,8.687411188799667e-07,2.419426871782095e-07,0.0001725549422273,1.5,0.0007260007687326,2.0,0.0001792898217127,1.6666666666666667,7.743102206970054e-05,1.5,9.730455579890425,4.0,0.3074957117461244,3.0,179.1075256286161,1.9454343508886796,178.9040484820757,30.17888726809177,178.19804212504624,62.48633064644759,179.14999185634835,55.31926724326297,179.02439770930627,147.33028767199085,180.34235649849825,149.76524114907554,178.19418637408876,26.801949368208973,179.42519139517262,151.09574390117766,179.35325498952292,76.59473884209328,177.72138528998457,146.50080744568908,179.98371136760002,147.3660996971818,general_v10,1.0,1758,2.7378468304020043,2.3538466190478697,1.4818042706284549,1.7352681992833303,3.345509703614605,2.8343682076628456,1758,1.99912328828563,0.7132221828138053,0.7269491030682298,1.4255236595917398,0.02621198585965714,1.3432196654245703,1758,0.00011503662815171012,0.0003630003843664298,0.00010757389302762377,5.1620681379871414e-05,2.432613894972606,0.10249857058204137
