,level_0,index,pnum,pl_orbsmax_0,pl_orbsmax_1,pl_orbsmax_2,pl_orbsmax_3,pl_orbsmax_4,pl_orbsmax_5,pl_orbsmax_6,pl_mass_0,pl_mass_1,pl_mass_2,pl_mass_3,pl_mass_4,pl_mass_5,pl_mass_6,st_mass,kep_angles,arg_peri_0,arg_peri_1,arg_peri_2,arg_peri_3,arg_peri_4,arg_peri_5,arg_peri_6,mean_anom_0,mean_anom_1,mean_anom_2,mean_anom_3,mean_anom_4,mean_anom_5,mean_anom_6,Sigma,alpha,beta,h,h_outermost,K,K_outermost,taue,taua,disk_inner_edge,disk_inner_edge_width,itime,close_encounter_flag,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_ratio_01,a_ratio_12,a_ratio_23,a_ratio_34,a_ratio_45,a_ratio_56,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_ratio_01,p_ratio_12,p_ratio_23,p_ratio_34,p_ratio_45,p_ratio_56,e_0,e_1,e_2,e_3,e_4,e_5,e_6,delta_wu_01,prox_res_01,delta_wu_12,prox_res_12,delta_wu_23,prox_res_23,delta_wu_34,prox_res_34,delta_wu_45,prox_res_45,delta_wu_56,prox_res_56,phi_cen_2_01,phi_amp_2_01,phi_cen_2_12,phi_amp_2_12,phi_cen_2_23,phi_amp_2_23,phi_cen_2_34,phi_amp_2_34,phi_cen_2_45,phi_amp_2_45,phi_cen_2_56,phi_amp_2_56,phi_cen_3_012,phi_amp_3_012,phi_cen_3_123,phi_amp_3_123,phi_cen_3_234,phi_amp_3_234,phi_cen_3_345,phi_amp_3_345,phi_cen_3_456,phi_amp_3_456,parameter_method,tmp,index,p_i_01,p_i_12,p_i_23,p_i_34,p_i_45,p_i_56,index,m_01,m_12,m_23,m_34,m_45,m_56,index,delta_01,delta_12,delta_23,delta_34,delta_45,delta_56
19,19,4.0,7,0.1,0.121913842,0.231125561,0.313767097,0.581812928,1.878211746,2.999368817,1.72e-05,1.41e-05,1.92e-05,4.35e-05,1.57e-05,8.37e-06,3.25e-05,0.94,0,3.929020977,3.177531027,5.773465055,5.174183062,4.506926158,0.920530759,1.453391583,5.215524849,3.353922919,2.472296713,3.505948117,1.871034139,2.663778532,4.896914392,16.74714905,1.5,0.0,0.04078144,0.04078144,107.8152614,107.8152614,25154.43065,2712031.515,0.05,0.01,8136094.544,0.0,0.049987458,0.070272953,0.111564439,0.146211033,0.232182253,0.30435016,0.368836481,1.405811697,1.587587185,1.310552315,1.587994069,1.310824393,1.211882029,0.011527414,0.019214069,0.038434504,0.057662407,0.115388481,0.17317185,0.231025694,1.666815241,2.000331309,1.500277154,2.001104133,1.500772426,1.334083481,0.053573388,0.135287211,0.101209679,0.052859378,0.03572448,0.045144855,0.009132555,0.000148574,1.666666667,0.000331309,2.0,0.000277154,1.5,0.001104133,2.0,0.000772426,1.5,0.000750147,1.333333333,179.4298683,0.138567807,232.0130332,0.041612861,185.3567271,0.086530476,192.8471529,0.072895218,189.7477155,0.269561421,186.7218634,0.806312162,98.15503081,0.162313857,276.1142947,0.072539394,188.8028511,0.074089583,197.8595464,0.160965166,151.6998072,0.344782454,'general_v9',1.0,19,1.3461090464382395,2.6103050438060986,1.581734249799998,2.5250522723754933,5.800206703430718,2.018005778946896,19,0.8197674418604651,1.3617021276595744,2.265625,0.36091954022988504,0.5331210191082802,3.8829151732377536,19,8.914459999997959e-05,0.00016565449999994541,0.00018476933333322343,0.0005520665000000591,0.0005149506666666248,0.000562610750000081
60,14,2.0,5,0.1,0.2289582651926492,0.3757415188533914,0.5229828125921104,0.6800672831450297,,,8.845502450137024e-06,2.0507162790472795e-05,1.5229254582334734e-05,1.6212720602246043e-05,1.3836073488065211e-05,,,1.0,0,0.9947768239322736,5.251618291163721,4.180826278685427,1.982389072670585,5.00576927589638,,,4.104263208224165,1.153514357404986,1.9853785227651952,2.235077186180619,3.027638498139023,,,940.2338591853664,1.5,0.0,0.1136475087164859,0.1136475087164859,13.88306975842996,13.88306975842996,15809.991362774965,219491.21296958,0.05,0.01,658473.6389087399,0.0,0.049829282891316,0.0589195538102396,0.0935323678836066,0.1484857421272154,0.235744816147511,,,1.1824286003571125,1.587458933481562,1.5875332311008683,1.5876596152056277,,,0.0111232901395498,0.0143018101866188,0.0286049646530844,0.0572166112173303,0.1144603908521111,,,1.285754343063525,2.000094194282465,2.0002335948772068,2.0004748356164743,,,0.0450585356391467,0.1497558697574228,0.1586606773515597,0.0497450686471878,0.0061563989367087,,,4.005734923926418e-05,1.2857142857142858,9.419428246535854e-05,2.0,0.000233594877207,2.0,0.0004748356164742,2.0,,,,,178.5930463157277,4.5699149846866405,127.77748264016566,0.1552007495083031,162.1699054609801,0.0221109066898196,178.32722404814163,0.0364312162304623,,,,,246.9051304370427,4.81559683565088,82.39597422059222,0.1691022848158506,46.68067151012195,0.0145735305001164,,,,,general_v10,1.0,60,3.464431322182224,2.1023278194907395,1.6420906608828352,1.482849977145369,,,60,2.318371726883092,0.7426309888859872,1.0645774233134224,0.8534084949412142,,,60,3.115571607481549e-05,4.709714123252162e-05,0.00011679743860337766,0.0002374178082371614,,
76,30,6.0,4,0.1,0.1704573631360238,0.2590719793141869,0.3017750738470308,,,,8.94503441334727e-06,1.9937321702818318e-05,5.959363160383871e-06,4.838035008051081e-06,,,,1.15,0,1.2681151514985898,5.870499238891638,2.986394008959836,0.9442352386940066,,,,6.171509640971907,1.083520206364839,2.555447922481472,4.668508183906096,,,,56.18806978511535,1.5,0.0,0.0600621476897183,0.0600621476897183,49.705406585095744,49.705406585095744,32300.500613891127,1605509.5159155931,0.05,0.01,4816528.547746779,0.0,0.0499460282687227,0.070216234981135,0.1114715016870279,0.1769579392562666,,,,1.4058422192496784,1.5875459988306797,1.5874726035893552,,,,0.0104090005523408,0.0173504257797393,0.0347055151190486,0.069415566012634,,,,1.6668676139966656,2.0002688353247926,2.0001310938107286,,,,0.0701171091123556,0.057785692485586,0.0468239460491961,0.0066316827735549,,,,0.0002009473299988,1.6666666666666667,0.0002688353247928,2.0,0.0001310938107286,2.0,,,,,,,179.4119920929175,0.9964988056649816,179.6887841256547,32.410175635134706,179.22607108743216,15.7466397845533,,,,,,,179.5302371386022,47.349597749015736,179.56054349037004,136.40651589644168,,,,,,,general_v10,1.0,76,2.2254691239611097,1.8737414113444835,1.2571716948201774,,,,76,2.2288703186059275,0.2989049005284126,0.8118375869779079,,,,76,0.00012056839799923225,0.00013441766239630226,6.554690536431096e-05,,,
94,48,12.0,7,0.1,0.2404121946467552,0.4013974297768343,0.5485658617133184,0.841210176862332,1.3785438835126602,3.122255523682105,2.8867666808977184e-06,1.9827053683689863e-06,4.823020891177447e-06,4.616693715829551e-06,1.4146956122155571e-06,5.471982771637189e-07,5.962123309269544e-07,1.2,0,0.8926748434931748,0.5931907563379476,4.280038699673911,2.020065097489684,2.0727121356902467,2.57969006050476,4.223124449823461,1.06182360817729,2.211242761499912,1.1505596711207309,4.396726266726321,2.367378344329347,3.24213319205988,0.8209611713623658,1709.983157593468,1.5,0.0,0.0828642828715543,0.0828642828715543,26.1138312481918,26.1138312481918,344116.7774885315,8986207.457007078,0.05,0.01,10000000.0,0.0,0.0499858832200511,0.0793480736910201,0.1039761082720465,0.1461636244486448,0.1915311899894622,0.3040516578813555,0.3683311826690435,1.5874096560340474,1.3103797411617375,1.4057424051691898,1.3103888927229057,1.587478558842325,1.211409896732902,0.0102020656289659,0.0204042802956121,0.0306066758076546,0.0510121873861333,0.0765198297613832,0.1530508343993165,0.204066755896149,2.000014608458585,1.5000125149975307,1.6667013355091134,1.5000303592063302,2.0001460326936957,1.3333266864483482,0.1191197619899491,0.1876302799815329,0.0946491598770618,0.088828545544125,0.0682884724091,0.0314457633161686,0.0224995253082978,1.4608458584910444e-05,2.0,1.2514997530566064e-05,1.5,3.466884244707646e-05,1.6666666666666667,3.0359206330201617e-05,1.5,0.0001460326936952,2.0,-6.64688498495547e-06,1.3333333333333333,96.71605599077826,0.5842629078077629,154.38536206933327,0.4987029358383459,174.36646520233376,0.272310323463708,178.67864116633416,0.8162469891555718,177.5420443412172,36.30233023328431,173.27684802073765,37.18630334070338,76.10449700950214,0.656602722583081,69.88110374859386,3.978638989065144,168.35403871617896,12.07415270086728,178.66275035734026,37.75617879335345,150.1139753121674,132.46929804099943,general_v10,1.0,94,3.7276480661005307,2.1573798965426585,1.5976488168395186,1.898952890524126,2.097849232889507,3.408566422980471,94,0.6868256383478869,2.4325454341937665,0.9572203438460485,0.3064304671901669,0.38679576895467344,1.089572748688627,94,7.304229292515174e-06,8.343331687088451e-06,2.0801305467887943e-05,2.0239470886807e-05,7.301634684786507e-05,-4.985163738813192e-06
182,31,0.0,7,0.1,0.1650206831737749,0.3511499796518721,0.4833996877802305,0.7363168036828229,1.4212837487264738,2.0975832561933188,1.0260702874898147e-06,8.558821205919065e-06,8.271141593348282e-06,9.91122901155721e-06,3.888021046700793e-06,2.048592717224872e-05,7.01201293128641e-06,0.73,0,4.511875851098874,2.032989056826921,2.663196268948922,5.7955121037740245,0.6978117366312426,1.9227619627276755,2.084780774896568,3.263323511858243,0.2150987423522236,4.946113045878318,2.468645746422641,1.25935127318284,0.218605077692777,1.112178887948585,171.31274686985748,1.5,0.0,0.0332556348176576,0.0332556348176576,162.1342850090786,162.13428500907864,2415.0209262166,391557.69115409127,0.05,0.01,1174673.073462274,0.0,0.0442567088086709,0.0499772778006674,0.0702582038218926,0.1115414550260227,0.1461772879158011,0.1771063608428512,0.2812765155924313,1.1292588076435772,1.4058029380518482,1.5875933221955796,1.3105198244819996,1.2115860465385206,1.5881785070033247,0.0108972054582159,0.0130768402008544,0.0217965132108707,0.0436006507141365,0.0654119667508708,0.0872333401326715,0.1745940291064839,1.2000177933302827,1.6668027580119644,2.00034980184072,1.5002520794499077,1.3335991279063717,2.001459866753907,0.1254808910546233,0.0435312660341395,0.0849238868091573,0.0612618243246765,0.0784917201763383,0.0200054568592204,0.0056974044925405,1.7793330282671605e-05,1.2,0.0001360913452979,1.6666666666666667,0.0003498018407201,2.0,0.0002520794499074,1.5,0.0002657945730386,1.3333333333333333,0.001459866753907,2.0,185.53240506206348,0.2933457522916959,169.53271222698294,0.1129156374467549,124.63360918142904,0.0404942699129536,170.04306167305046,0.0795721506646427,181.62438559759875,0.2909191245006699,167.82025294660008,0.1493589351116692,227.51126353205444,0.6386569695487009,275.3510867718471,0.1556723670372862,47.931502249323145,0.0954986171290393,131.99084547906136,0.1986378428897913,165.4300610923328,0.1148411012429371,general_v9,1.0,182,2.1198509710801785,3.1040698525347894,1.6151768789692744,1.8799197518045356,2.681755503746163,1.7929229814548928,182,8.341359564028917,0.9663879399219333,1.19829033268248,0.3922844525302643,5.26898566807713,0.34228438246062104,182,1.4827775235648488e-05,8.165480717869933e-05,0.00017490092035998828,0.00016805296660504787,0.00019934592977888244,0.0007299333769534844
189,38,1.0,6,0.1,0.1921882302965215,0.2874447146925308,0.9237759637985464,1.4530511364768954,2.858998738267459,,2.042658435508428e-05,1.0984062554030534e-05,2.2469404666971743e-05,8.088098625659053e-06,4.564377582639731e-06,1.5078532746234025e-05,,1.1,0,5.7540732756387865,0.7241929064483383,2.0788991767255864,4.083401232598907,3.497714425548911,0.8274554941217336,,3.2200674828913542,0.987275082051112,4.989462597218979,2.9902706721016608,3.5020874198016787,2.837009518404867,,1692.8553171102112,1.5,0.0,0.1235753218195796,0.1235753218195796,11.741993765632118,11.741993765632118,54631.092313380526,641477.9453533869,0.05,0.01,1924433.8360601608,0.0,0.0501746246866138,0.0796488048591471,0.1043728476832214,0.1467279808669283,0.1922781968805506,0.2519787510310547,,1.5874320010529532,1.3104132310228302,1.4058060536896,1.3104398810515665,1.3104905044426287,,0.010716032603259,0.0214325849846096,0.0321501144249804,0.0535881839804735,0.0803884745256769,0.1205984228241585,,2.000048505233616,1.5000577147062035,1.6668116161284987,1.5001156862196288,1.5001954414829992,,0.141733179375308,0.2512950171612448,0.0781934201407173,0.102019292287212,0.0768719511132989,0.0165808470630356,,4.850523361546344e-05,2.0,5.771470620365982e-05,1.5,0.0001449494618322,1.6666666666666667,0.0001156862196286,1.5,0.0001954414829994,1.5,,,97.64293560082672,0.02081358952368,161.90234603276184,0.0403773223236561,176.22913696685904,0.1700706670928624,169.30590625202177,0.0769930413751891,171.01522502927233,0.0679545331342794,,,72.20302235801813,0.054804936943403,83.60097594397512,0.2463049681738741,230.62406947341088,0.2881875730292124,195.94396201112997,0.06204948564567,,,general_v10,1.0,189,2.6643547277545028,1.8291067083105492,5.761311199255701,1.9727500198057566,2.7599265370859274,,189,0.537733688760184,2.045636990543789,0.35996052167541054,0.5643325822164793,3.3035244068291143,,189,2.425261680794044e-05,3.847647080235106e-05,8.696967709909131e-05,7.712414641924958e-05,0.00013029432199940238,
234,83,2.0,7,0.1,0.2252800436476122,0.3249448965206523,0.4291932114929662,0.6227094375310009,1.690108654577292,2.877887212783741,2.4675584716836297e-05,5.181505869670822e-06,2.6487705574541443e-05,5.625501716241335e-05,7.191185271197045e-05,5.975147263712829e-05,7.851572034130542e-05,1.08,0,2.74362561258263,1.4535651490013195,1.9524090815448616,5.590012634687581,0.7271956647506713,5.522453993618001,4.703237283051269,0.795785448203846,4.237323361026202,0.9446980907601478,0.6059872881717766,1.233839863781046,4.60368722795418,0.0912706335124918,119.28661578143496,1.5,0.0,0.0514247298084859,0.0514247298084859,67.8049357312199,67.80493573121991,4372.581946084378,296482.6378337437,0.05,0.01,889447.9135012311,0.0,0.0500059313642106,0.0655289105262774,0.0858735640058357,0.1125325834899193,0.1582260229863198,0.329276611552356,0.5228811078359243,1.3104227611948651,1.3104683735364293,1.3104450257163265,1.406046399949652,2.081052290413183,1.5879693414102944,0.0107602817752192,0.0161413458896419,0.0242144288085563,0.0363237874664798,0.0605586386848419,0.1817977723380401,0.3637775265563037,1.5000858061012865,1.5001493355048858,1.5000885917773232,1.6671898031856187,3.0020125310817023,2.001001496210323,0.0224788576611076,0.1679662997704891,0.1017759429229816,0.1245393445213066,0.0790038264502803,0.096134801475653,0.0013727500160915,8.580610128636312e-05,1.5,0.0001493355048855,1.5,8.859177732323698e-05,1.5,0.0005231365189519,1.6666666666666667,0.0020125310817024,3.0,0.0010014962103226,2.0,164.27785504548373,1.0627310508274963,158.79383991110535,2.56715878468353,176.7572948984253,0.5106517668038747,178.4261978540388,0.8156031580647284,165.42514434849275,51.49572293378183,175.5301267204946,8.142519015165329,156.30262170043298,5.926079611049075,113.81332144124733,9.535607316738636,164.34442335033214,7.098174717448665,177.7732358031351,147.33756682329653,195.27255129513324,148.2007241243545,general_v10,1.0,234,3.3813334583742414,1.7323124015190348,1.5179543137143579,1.74761497561667,4.471427687612121,2.2219533835784024,234,0.20998513020586904,5.111970581676518,2.1238161608260495,1.278318918726029,0.8308988071333901,1.3140382466911356,234,5.7204067524407876e-05,9.955700325714467e-05,5.906118488208101e-05,0.0003138819113712721,0.0006708436939006912,0.0005007481051615414
252,101,4.0,6,0.1,0.1435038868810427,0.2444702338902557,0.2887388766690215,0.3516116424598957,0.7855310610324153,,7.83570055160944e-06,6.773517045599875e-06,1.2520948990877563e-05,1.3034533148191024e-05,6.931116807928565e-06,1.4296555752112068e-05,,1.02,0,2.522016863723614,5.002170270873793,1.619487000390253,5.261376344945532,0.2943455717130026,3.179118612975598,,0.4618650563485062,4.62107407725598,3.977030217406474,4.936027086356092,5.638145250140028,6.277162132026247,,114.91792698281527,1.5,0.0,0.0609812889786139,0.0609812889786139,48.2183278888164,48.2183278888164,12348.6542752552,595431.4608298898,0.05,0.01,1786294.3824896691,0.0,0.0500039825011208,0.0655245673025221,0.0921129314502023,0.1207092347724,0.191634274310362,0.2511466627097658,,1.310386973894198,1.4057770308846915,1.3104483047782878,1.5875692915427215,1.3105519028214083,,0.0110716752832646,0.0166077672232505,0.0276810937669819,0.0415250640547655,0.0830630492664725,0.1246195458713514,,1.5000229688754831,1.6667558947096617,1.500123675661186,2.0003111657179544,1.500300640548186,,0.0622995929426375,0.1390334041838458,0.1008063262156613,0.0839302495364381,0.0533217871763057,0.0167806197362373,,2.2968875483084795e-05,1.5,8.922804299497322e-05,1.6666666666666667,0.0001236756611861,1.5,0.0003111657179541,2.0,0.0003006405481867,1.5,,,178.06782071150693,0.0632874899340727,178.40243561158005,0.0852447626086814,179.66697226318269,0.0333776981700707,152.8603669822106,0.0192194070701313,172.93201713954448,0.1114837998481167,,,177.10127731823758,0.2282623004072538,173.85775837533723,0.1337425810540202,194.35264426187655,0.0340657785400862,107.68666190543924,0.0407272797222412,,,general_v10,1.0,252,1.7190785548681398,2.2235262554806883,1.283567766655382,1.3438112601852263,3.339247466991482,,252,0.8644430706592796,1.8485151667273445,1.041017989745637,0.5317502920225792,2.062662648501049,,252,1.5312583655502365e-05,5.3536825797007026e-05,8.245044079058239e-05,0.00015558285897721014,0.0002004270321240842,
424,273,7.0,3,0.1,0.2182809270223097,0.4828620028319362,,,,,6.688439193865967e-06,5.116424260638101e-06,1.0954514027868014e-05,,,,,0.78,0,4.257987828888744,5.649958988779338,5.37571187589174,,,,,5.732934825397781,2.984120263358159,0.9141822341453396,,,,,15.125924546354334,1.5,0.0,0.0176049676455934,0.0176049676455934,578.5419874996271,578.5419874996271,349.6066078115809,202262.10172631464,0.05,0.01,606786.305178944,0.0,0.0501831687855949,0.0705484311074341,0.1120059123292753,,,,,1.4058185813248665,1.5876456874961196,,,,,0.0127290549296557,0.0212172285626391,0.0424439688148416,,,,,1.6668345535245663,2.0004483034195792,,,,,0.0147282835827457,0.060699776198663,0.0019247541461696,,,,,0.0001678868578998,1.6666666666666667,0.0004483034195793,2.0,,,,,,,,,175.48954848278206,0.0620145798016981,173.83173039244795,0.0464336565496138,,,,,,,,,191.1474591333203,0.0777350159128605,,,,,,,,,general_v9,1.0,424,3.2249584375630165,3.2901010559822703,,,,,424,0.764965354746803,2.1410488008478423,,,,,424,0.00010073211473971,0.00022415170978962173,,,,
428,277,3.0,5,0.1,0.172480498231862,0.4924053629433836,0.6218752130242061,1.1293208161027029,,,7.605348877706452e-06,6.0339166386020375e-06,2.091484808604674e-05,1.4272876074857258e-05,1.1267611859232404e-05,,,0.79,0,0.5279671323375748,6.021940915531881,0.260137142021466,2.4998234358015106,4.028089097056659,,,4.986388786517126,0.2348661594632994,0.4059067383990712,3.0775046301069477,0.8803517389057165,,,20.8088663677847,1.5,0.0,0.093038036224214,0.093038036224214,20.71496842293681,20.714968422936817,459418.6576397611,9516842.985915672,0.05,0.01,10000000.0,0.0,0.0498132648059663,0.0790741261441269,0.1255242355069629,0.2611165859599709,0.4145257808476874,,,1.5874110329692062,1.5874248838975415,2.0802085347215638,1.5875122576338538,,,0.0125086395642334,0.0250174195425462,0.0500353035456861,0.150118054185052,0.3002655173689999,,,2.0000112252016344,2.000018565727027,3.000242701044812,2.000195906192249,,,0.0704419996049319,0.4567832924058719,0.1359191701641993,0.1207953609337836,0.0038523740535434,,,1.122520163474583e-05,2.0,1.8565727027186615e-05,2.0,0.0002427010448122,3.0,0.0001959061922487,2.0,,,,,266.3116479190543,14.65089758142982,187.32050704220936,9.56167348818872,172.5991858378845,2.76882164411254,179.94274734753995,0.8693833025304227,,,,,287.8881064160388,3.7154808152950665,139.67666503947785,10.534674097658444,153.4163624600264,7.013669579979868,,,,,general_v9,1.0,428,2.265220216676669,4.823586535448981,1.419294547809408,2.447214040719002,,,428,0.7933780206045838,3.46621429143449,0.6824279103599779,0.7894422819995718,,,428,5.6126008172174835e-06,9.282863513426776e-06,8.090034827068493e-05,9.795309612448122e-05,,
