,level_0,index,pnum,pl_orbsmax_0,pl_orbsmax_1,pl_orbsmax_2,pl_orbsmax_3,pl_orbsmax_4,pl_orbsmax_5,pl_orbsmax_6,pl_mass_0,pl_mass_1,pl_mass_2,pl_mass_3,pl_mass_4,pl_mass_5,pl_mass_6,st_mass,kep_angles,arg_peri_0,arg_peri_1,arg_peri_2,arg_peri_3,arg_peri_4,arg_peri_5,arg_peri_6,mean_anom_0,mean_anom_1,mean_anom_2,mean_anom_3,mean_anom_4,mean_anom_5,mean_anom_6,Sigma,alpha,beta,h,h_outermost,K,K_outermost,taue,taua,disk_inner_edge,disk_inner_edge_width,itime,close_encounter_flag,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_ratio_01,a_ratio_12,a_ratio_23,a_ratio_34,a_ratio_45,a_ratio_56,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_ratio_01,p_ratio_12,p_ratio_23,p_ratio_34,p_ratio_45,p_ratio_56,e_0,e_1,e_2,e_3,e_4,e_5,e_6,delta_wu_01,prox_res_01,delta_wu_12,prox_res_12,delta_wu_23,prox_res_23,delta_wu_34,prox_res_34,delta_wu_45,prox_res_45,delta_wu_56,prox_res_56,phi_cen_2_01,phi_amp_2_01,phi_cen_2_12,phi_amp_2_12,phi_cen_2_23,phi_amp_2_23,phi_cen_2_34,phi_amp_2_34,phi_cen_2_45,phi_amp_2_45,phi_cen_2_56,phi_amp_2_56,phi_cen_3_012,phi_amp_3_012,phi_cen_3_123,phi_amp_3_123,phi_cen_3_234,phi_amp_3_234,phi_cen_3_345,phi_amp_3_345,phi_cen_3_456,phi_amp_3_456,parameter_method,tmp,index,p_i_01,p_i_12,p_i_23,p_i_34,p_i_45,p_i_56,index,m_01,m_12,m_23,m_34,m_45,m_56,index,delta_01,delta_12,delta_23,delta_34,delta_45,delta_56
558,407,4.0,5,0.1,0.1820111950208528,0.4090174516324398,0.491950576402155,0.7789368862076458,,,5.135543187330572e-06,3.772756764763644e-05,4.974010147848998e-05,8.664099220321236e-06,1.6408745179221507e-05,,,0.81,0,0.7363433747599584,6.229893765689564,1.9774676036121823,3.368088633825812,0.574645054214318,,,1.1602034917981878,6.129703364599063,0.8165749653978146,2.6994815874196627,0.2854202716137113,,,283.16185538391346,1.5,0.0,0.0344427699524192,0.0344427699524192,151.15036623483775,151.15036623483775,311.8177114955519,47131.36129106165,0.05,0.01,141394.08387318495,0.0,0.0431963988878647,0.0501228272481927,0.0685697061245315,0.1088747076408423,0.1426966329840818,,,1.160347864512182,1.3680335529288754,1.587795949646916,1.3106500409663386,,,0.0099755235657192,0.0124683090077303,0.0199498352104485,0.0399143549654972,0.0598900700425853,,,1.2498914181379746,1.600043548048422,2.000735825896919,1.5004646009878335,,,0.3881385737613833,0.0386710257214279,0.0106991209003094,0.0493200801777487,0.0161926698317837,,,-0.0001085818620255,1.25,4.354804842183757e-05,1.6,0.0007358258969188,2.0,0.0004646009878335,1.5,,,,,176.68106904610164,2.122273626547007,95.27903545857797,46.66077031049817,162.93205573316865,70.69957696133773,167.2865557990918,34.33671827363841,,,,,112.96221178242054,81.3165454861996,153.69158503362962,142.62833281748462,191.1449294667371,61.28579327801792,,,,,general_v10,1.0,558,2.4554913835486243,3.368700383355618,1.3191083340978902,1.9923659843279102,,,558,7.346363621419964,1.3184020221777033,0.1741874053889498,1.8938778010223576,,,558,-8.68654896203358e-05,2.7217530263801137e-05,0.0003679129484595034,0.0003097339918889386,,
1448,108,23.0,5,0.1,0.2049966550511251,0.2786432324824928,0.5505148257294871,0.7975596504007331,,,9.147470822802895e-06,9.3022990226519e-06,2.4959625929952342e-06,1.2110127383114129e-05,2.0103258289546656e-05,,,0.8,0,3.510890127128365,1.0766440158309007,4.95083323037748,3.9005702364175647,4.60575532169325,,,0.0582159777555657,5.628554804739404,3.4680106188929325,1.0277402860641884,3.1508882272334096,,,21.27647947602359,1.5,0.0,0.0659705591789668,0.0659705591789668,41.20073988815531,41.20073988815532,45816.4474979105,1887671.535960735,0.05,0.01,5663014.607882205,False,0.0498475233282651,0.0791310993170129,0.1082545596948598,0.1256228640683435,0.1521904418090367,,,1.5874630081491192,1.3680406422115872,1.1604394794580124,1.2114868066201427,,,0.0124430287272683,0.0248873697313905,0.0398223441648862,0.049780272872881,0.0663788687659795,,,2.00010546363863,1.600102573639253,1.2500588465960385,1.333437234133335,,,0.1048687959920821,0.1237810122595084,0.1155952452858559,0.102974938217295,0.0578846035664176,,,0.0001054636386301,2.0,0.0001025736392523,1.6,5.884659603837772e-05,1.25,0.0001039008000014,1.3333333333333333,,,,,223.8993409482892,0.0554673325735642,183.8220503720758,0.4412702839339457,176.26919510318464,0.1728219773294762,178.68511689950722,0.134001005338566,,,,,127.7963935850629,0.495599699645687,335.3476857194699,0.7162797209906319,228.07162912701335,0.1978128563116821,,,,,general_v10,1.0,1448,2.9350811956779377,1.5847269180493688,2.777014643946001,1.7437694427934354,,,1448,1.0169257932436415,0.2683167448087134,4.851886569574583,1.6600368975125583,,,1448,5.27318193150883e-05,6.410852453297977e-05,4.707727683084251e-05,7.792560000119408e-05,,
1807,221,5.0,5,0.1,0.228117802423004,0.3360190009849169,1.066252350947808,1.241811196232698,,,1.050763418976476e-05,4.110892870630468e-06,8.460079879732605e-06,6.101811885058928e-06,1.3907934366876886e-05,,,1.04,0,4.181866753202815,4.077700887783728,3.3204520628589145,4.898300825374787,4.992092497732705,,,3.129248978802885,1.453046841317215,3.142063793864891,5.544217931641126,3.377459174927463,,,73.46476387554473,1.5,0.0,0.0898157533708183,0.0898157533708183,22.22799608161313,22.22799608161313,152076.72325024253,3380360.8085109554,0.05,0.01,10000000.0,False,0.0502134983154114,0.0924946966900104,0.1212030638364731,0.2521193688502908,0.2925599921260982,,,1.842028534304468,1.310378520928503,2.080140228060245,1.1604026873986566,,,0.0110336717115792,0.0275844119379047,0.0413768201848229,0.1241351455608895,0.155168992508858,,,2.5000210871330104,1.500007333218061,3.0001132278054534,1.2500004977681392,,,0.0971215633691043,0.348949118588559,0.0963765061320355,0.1505624953064981,0.0794511868834706,,,2.1087133010420088e-05,2.5,7.333218060949776e-06,1.5,0.0001132278054534,3.0,4.977681391693522e-07,1.25,,,,,179.44105662398846,0.6833506998268889,179.4505223258821,3.070518251856842,177.29367216981908,83.09342156304612,179.88766521360256,0.2102559045367699,,,,,182.48654857383812,23.58123951492378,178.62212495650832,153.55864324630434,178.67884638760952,147.1088080960805,,,,,general_v10,1.0,1807,3.4454036092215863,1.7877470810680072,5.652554268501468,1.2568739474475146,,,1807,0.39122915742868103,2.057966516270496,0.7212475498815013,2.279312215594888,,,1807,8.434853204120074e-06,4.888812040748647e-06,3.774260181788058e-05,3.9821451136567987e-07,,
1930,344,7.0,4,0.1,0.2397659237492323,0.4169066711938659,0.9171036361660216,,,,1.2453673709749152e-05,3.37493041239915e-06,1.1898699178989924e-05,2.970361505480743e-05,,,,0.94,0,1.5419842367006722,5.856673761321249,1.2160884201366695,3.879760146584668,,,,5.860867876587524,6.215105863847492,0.8148604187109867,4.829877233661925,,,,51.78817105938988,1.5,0.0,0.0381986800063758,0.0381986800063758,122.88776180656438,122.8877618065644,2097.2613537329275,257727.7536836448,0.05,0.01,773183.2610509344,False,0.0500277883408726,0.0684419582782856,0.0794232306394759,0.104085980089851,,,,1.368078833353376,1.1604465033544085,1.3105231247501252,,,,0.0115413963125341,0.0184681868926418,0.0230865582791898,0.0346353326286519,,,,1.600169200585289,1.250071745442903,1.50023803628771,,,,0.0446921966119957,0.0371396787058958,0.105361891122476,0.0308774254969143,,,,0.000169200585289,1.6,7.174544290297291e-05,1.25,0.0002380362877104,1.5,,,,,,,112.35338577499606,2.4052729924398784,179.20027856701367,0.3468477243016313,177.17905196307413,0.0824870733510746,,,,,,,279.73265813855744,0.8560392364706221,179.66423843021977,0.1964994159801825,,,,,,,general_v10,1.0,1930,3.712643826948439,2.292847171341657,3.2626106021920123,,,,1930,0.2709987824522126,3.525613190504704,2.4963749909113138,,,,1930,0.00010575036580551256,5.739635432222556e-05,0.0001586908584731983,,,
2255,318,2.0,3,0.1,0.154053072,0.281673878,,,,,1.87e-07,9.2e-07,1.19e-06,,,,,0.76,0,2.219702042,0.45764181,3.470469196,,,,,1.106976074,1.847605189,1.663246999,,,,,29.09195168,1.5,0.0,0.029733375,0.029733375,202.8228741,202.8228741,7607.453806,1542965.646,0.05,0.01,4628896.937,False,0.045885769,0.050157855,0.072839247,,,,,1.09310262,1.452200216,,,,,0.011275047,0.012885745,0.022550123,,,,,1.14285502,1.750005461,,,,,0.188525383,0.022504152,0.019250776,,,,,-2.12e-06,1.142857143,5.46e-06,1.75,,,,,,,,,178.9843124,0.100841349,84.54147982,0.567621204,,,,,,,,,344.4762083,0.319782642,,,,,,,,,general_v10,1.0,2255,1.912076813818038,2.4723743984950604,,,,,2255,4.919786096256685,1.2934782608695652,,,,,2255,-1.8574999999243502e-06,3.120571428594232e-06,,,,
2273,336,1.0,4,0.1,0.287683796,0.570401153,1.084088371,,,,3.76e-05,8.15e-06,2.14e-05,2.08e-05,,,,0.82,0,2.530176239,2.83027795,1.42770682,1.357907806,,,,1.998252119,0.886337699,1.60093282,5.090489669,,,,125.4711291,1.5,0.0,0.090513472,0.090513472,21.88663007,21.88663007,37622.5573,823430.9937,0.05,0.01,2470292.981,False,0.050289534,0.126726433,0.201171741,0.319364551,,,,2.519936512,1.587448926,1.587521935,,,,0.012453968,0.049818424,0.099640054,0.19930035,,,,4.000204925,2.000064341,2.000203153,,,,0.043808145,0.22393011,0.160480317,0.01800467,,,,0.000204925,4.0,6.43e-05,2.0,0.000203153,2.0,,,,,,,222.4198117,0.030605067,139.6503114,0.009065804,180.643511,0.015372656,,,,,,,320.5739382,0.049007188,59.18131117,0.016824519,,,,,,,general_v10,1.0,2273,4.879562662230358,2.791862224027266,2.620152658618041,,,,2273,0.21675531914893617,2.625766871165644,0.97196261682243,,,,2273,5.1231250000061124e-05,3.217049999992838e-05,0.000101576500000089,,,
2485,548,5.0,3,0.1,0.167150545,0.304506655,,,,,6.43e-05,6.18e-06,4.91e-05,,,,,0.65,0,0.092796414,3.074650031,3.469910308,,,,,5.34897119,1.640404971,4.340213837,,,,,87.11996044,1.5,0.0,0.071979652,0.071979652,34.60874599,34.60874599,1816.057883,62851.48596,0.05,0.01,188554.4579,False,0.050270579,0.092600484,0.147005031,,,,,1.842041339,1.587519206,,,,,0.013979797,0.034950056,0.069905263,,,,,2.500040318,2.000147874,,,,,0.054501012,0.552261828,0.039215379,,,,,4.03e-05,2.5,0.000147874,2.0,,,,,,,,,174.5647416,0.398670776,176.8500808,0.071701924,,,,,,,,,187.7496294,0.612970287,,,,,,,,,general_v10,1.0,2485,2.161131087792893,2.45877704346837,,,,,2485,0.09611197511664074,7.944983818770226,,,,,2485,1.6127199999882436e-05,7.39370000000239e-05,,,,
2927,990,1.0,5,0.1,0.185602082,0.307675743,0.452923752,0.618656274,,,6.6e-05,6.5e-06,1.36e-05,3.27e-05,3.62e-05,,,1.1,0,5.155427034,2.382400023,0.760936595,1.16896761,1.475030719,,,0.130231067,3.605811706,3.765701599,4.517316133,3.489590627,,,143.9543684,1.5,0.0,0.13026803,0.13026803,10.56646346,10.56646346,71543.9895,755966.9508,0.05,0.01,2267900.852,False,0.050287107,0.092629227,0.147045402,0.192688199,0.270879435,,,1.842007483,1.587462312,1.310399348,1.405791538,,,0.010751865,0.026879403,0.053761582,0.08064382,0.134414254,,,2.499975824,2.000103464,1.500026906,1.666764535,,,0.072194261,0.547936148,0.133737425,0.183534637,0.132284062,,,-2.42e-05,2.5,0.000103464,2.0,2.69e-05,1.5,9.79e-05,1.666666667,,,,,178.8859514,0.228758947,245.0393097,0.052591213,206.2232215,0.149505897,178.7287878,0.335894724,,,,,359.3592036,0.361140619,313.7986045,0.179043939,247.297749,0.667400396,,,,,general_v10,1.0,2927,2.5286342188344624,2.1343430293281687,1.7860515396153784,1.5963782314206516,,,2927,0.09848484848484847,2.0923076923076924,2.4044117647058822,1.1070336391437308,,,2927,-9.670400000105772e-06,5.173199999997102e-05,1.793733333332881e-05,5.8721000000039325e-05,,
3092,1155,3.0,7,0.1,0.151153977,0.214431833,0.272304708,0.441826729,0.793418123,1.187776762,2.51e-05,9.61e-06,2.32e-05,2.02e-05,1.59e-05,1.14e-05,2.57e-05,1.02,0,0.450893474,1.629662022,2.653961955,4.695543824,0.918462619,3.431603496,1.576620213,6.058204762,2.283254825,5.12590582,5.881855512,1.566530125,0.367343852,5.807494962,25.48304791,1.5,0.0,0.112052598,0.112052598,14.28109429,14.28109429,533352.8652,7616862.559,0.05,0.01,10000000.0,False,0.050198628,0.09246778,0.112018762,0.162677958,0.338409134,0.537199934,0.704024627,1.842038001,1.211435621,1.452238509,2.080239667,1.587427723,1.310545382,0.01113629,0.027841099,0.037122049,0.064965766,0.194917685,0.389842917,0.584873555,2.500033522,1.33335435,1.750058769,3.000313942,2.000039618,1.500281331,0.121941749,0.296371409,0.10146055,0.208635777,0.069367681,0.076998721,0.031105017,3.35e-05,2.5,2.1e-05,1.333333333,5.88e-05,1.75,0.000313942,3.0,3.96e-05,2.0,0.000281331,1.5,179.807248,4.632554655,179.9361879,4.579566695,179.9364417,5.048503954,179.6104156,28.28648952,200.4292106,52.09536127,182.2012115,22.86915842,180.4185507,47.77513122,180.9803336,76.82010421,183.2047376,96.5184721,155.888703,97.98294758,225.3012758,99.7565029,general_v10,1.0,3092,1.8583720504081338,1.68966896168848,1.4310324331607884,2.0667891297396603,2.406446184149541,1.8316648777628937,3092,0.3828685258964143,2.414151925078044,0.8706896551724137,0.7871287128712872,0.7169811320754716,2.254385964912281,3092,1.3408799999892196e-05,1.5762500000127133e-05,3.358228571426203e-05,0.00010464733333326315,1.980900000009278e-05,0.0001875540000000342
3684,139,33.0,6,0.1,0.1480401927224245,0.3370660312659265,0.5168051219100832,0.6722209116437665,0.9462263520193896,,1.6930274379914086e-05,4.3861369806399295e-05,1.9064647609398385e-05,1.0230482548302937e-05,5.031266091027619e-06,8.428584156469663e-06,,0.98,0,4.424593041952651,6.1589617305729245,5.357323074155067,2.2123942263982013,2.209549110994203,1.4388300989170293,,5.028344134645186,0.9320336865976564,2.376757640807439,2.155864630880944,2.622900750811745,3.3993791975945764,,153.97336306907047,1.5,0.0,0.1045313110694841,0.1045313110694841,16.41014999618845,16.41014999618845,153111.68527380264,2512585.7215122995,0.05,0.01,7537757.164536899,False,0.0497493853741167,0.0602690200936837,0.0956880041290244,0.1254076455073172,0.1716021680007118,0.19916340402308,,1.2114525701635763,1.5876814347542223,1.3105890000693543,1.368354915690014,1.1606112440491576,,0.0112091580782166,0.0149459281615593,0.0298994854836269,0.044860202058107,0.0718055884712202,0.0897814329959613,,1.333367630085461,2.000510458508268,1.5003670279739223,1.6006523680206126,1.2503404901056152,,0.1098177147117335,0.0962561668585612,0.0361814474071926,0.0384630720717429,0.0173489695218386,0.0125000075655322,,3.429675212835104e-05,1.3333333333333333,0.0005104585082678,2.0,0.0003670279739224,1.5,0.0006523680206124,1.6,0.0003404901056151,1.25,,,179.64905497294197,0.158528627175603,162.47555595308856,0.0549197503130103,172.19791005074998,0.1380275424855017,180.74789847051548,4.875777129306221,179.93534765838993,4.2589208022777,,,190.07701261569372,0.1196549124429867,115.01258693432425,0.0601962402478883,67.77232927544182,4.850982031446623,277.806883806327,16.794113166855894,,,general_v10,1.0,3684,1.8012064585017273,3.4356468224187418,1.8985397300855549,1.4834706761484748,1.6700280961936704,,3684,2.5907063773541674,0.4346569132142537,0.5366205952455985,0.4917916693833978,1.6752411826320546,,3684,2.57225640958314e-05,0.0002552292541340151,0.00024468531594812326,0.0004077300128828565,0.0002723920844922567,
